843542
/m/03g9rl
/m/03g9rl
John Sladek
1980-11-13
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 3
alone 1
an 1
and 4
at 1
awareness 1
be 1
becomes 1
bodiless 1
body 1
center 1
chapters 1
character 1
computer 1
consisting 1
created 1
creation 1
criminal 1
customs 1
describe 1
developing 1
due 1
events 1
finally 1
finds 1
first 2
given 1
he 1
him 1
himself 1
his 2
human 1
in 1
intelligent 1
intrigues 1
invented 1
is 2
mind 1
misadventures 1
of 6
opening 1
other 1
program 1
project 1
robot 1
roderick 2
rudimentary 1
schemes 1
series 1
several 1
show 1
sketchy 1
stages 1
surrounding 1
that 1
the 7
through 2
title 1
to 2
understanding 1
unfortunate 1
unwittingly 1
various 1
world 1
