443287
/m/0293n1
/m/0293n1
Carl Hiaasen
1986
1 1
a 34
aback 1
abandon 1
abandoning 1
abducted 1
about 2
account 1
aching 1
acting 1
actually 2
addressed 1
advantage 1
after 3
against 1
agenda 1
airboat 1
al 2
alive 2
all 5
allow 2
along 3
also 1
amazing 1
american 1
amputated 1
an 7
anchored 1
and 44
andor 1
announces 1
anticastro 2
any 1
apologizing 1
appearance 1
appointed 1
are 3
armed 1
around 2
arrivals 1
arrives 1
article 1
as 12
at 7
attempt 1
attention 1
attributed 1
authorities 1
away 4
axes 1
back 2
bad 1
bags 1
bald 1
based 1
bay 1
bd 1
be 4
beats 1
beauty 4
because 1
been 1
before 3
begin 1
belatedly 1
believe 1
believes 1
believing 1
bellamy 2
bernal 9
biscayne 1
bizarre 1
bloodworth 3
blows 1
board 1
boat 2
bodies 1
body 1
bodyguard 1
bomb 4
bombing 1
bombings 1
bombs 1
bowl 6
breathe 1
brian 6
brief 1
brilliantbutinsane 1
brought 1
bullet 1
burglar 1
but 8
buzzing 1
by 12
cab 2
cabal 1
cabin 1
can 1
cancel 1
car 1
care 1
carried 1
case 2
catch 1
catches 1
caught 1
cause 1
causing 1
cell 1
chamber 1
chaos 2
character 1
city 1
civic 1
civil 1
claim 1
clear 1
climbing 1
clippings 1
close 1
closer 1
clues 1
coast 1
columnist 1
comes 1
commerce 1
commits 1
common 1
communiques 1
complex 1
comrades 1
condominium 1
confusion 1
consequences 1
construction 2
contain 1
contrary 1
cover 1
crashes 1
crocodile 1
cruise 2
cuban 1
customer 1
dawn 1
day 1
de 1
dead 1
death 1
december 1
decides 1
deck 3
deduce 1
deducing 1
defend 1
defender 1
demands 2
destruction 1
detective 1
detonation 1
developers 1
developing 1
development 1
devised 1
diciembre 1
directly 1
disables 1
disappeared 1
dismiss 1
dismissing 1
dissuade 1
dive 1
does 2
doing 1
down 1
drags 1
dreams 1
dressed 1
drive 1
drives 1
driving 1
dropped 1
drops 1
drugged 1
dukelike 1
during 1
dynamite 4
eagerness 1
eagle 1
earth 1
editor 1
el 1
encounter 1
ends 1
enough 1
envelops 1
ernesto 3
escalate 1
escort 1
escorting 1
establishment 1
evening 2
eventually 1
everglades 1
examines 1
execution 1
exfootball 1
exgirlfriend 1
expectations 1
expelled 1
exploded 1
explodes 1
exposed 1
fact 1
fanatic 1
farcically 1
fashion 1
father 1
fauna 1
fed 2
feverishly 1
final 1
find 2
first 3
fisherman 1
fittingly 1
flashy 2
flatly 1
flies 1
flight 1
flora 1
florida 5
fly 1
focused 1
foolish 1
for 9
force 1
forcing 1
former 1
found 1
frenzied 1
friend 2
friendship 1
frighten 1
from 7
frontpage 1
fuego 1
furious 1
future 1
game 4
gang 6
garcia 9
garish 1
giant 1
girlfriend 1
give 1
go 2
goes 2
gone 1
greater 1
greedy 1
grind 1
ground 1
group 3
grow 1
guard 1
guards 1
gunpoint 1
halftime 1
harper 5
has 7
hates 1
have 2
he 11
head 2
helicopter 2
help 1
her 6
him 6
himself 3
hints 1
hired 2
hiring 1
his 14
hoax 1
home 2
horribly 1
horrified 1
hospital 1
house 1
however 2
humiliation 1
hundreds 1
husband 1
ida 1
identifies 1
if 2
illegally 1
illustrate 1
immediately 1
in 19
inclined 1
indulge 1
informs 1
initial 1
injures 1
insist 1
instead 1
intelligent 2
into 4
investigator 1
is 35
island 6
it 6
itself 1
jenna 5
jess 3
job 2
just 2
kara 9
key 1
keyes 26
kidnap 1
kidnapped 1
kidnapping 1
kidnappings 1
kidnaps 1
kill 1
killings 1
kills 1
kimmelman 1
know 1
knowledge 1
lackluster 1
land 1
largo 1
las 9
lastditch 1
latest 1
lawyer 1
leader 1
leaders 2
learn 1
learns 1
leave 1
led 1
leg 2
legs 1
let 1
letters 2
live 1
locate 1
location 1
loitering 1
look 1
lost 1
lot 1
lynn 9
mail 2
make 1
making 1
manages 1
many 1
measures 1
mentor 1
miami 6
middle 1
might 1
mined 1
missing 1
misspells 1
most 1
movement 1
much 1
muchtouted 1
mulcahy 3
murder 3
murdering 1
murders 2
nachos 1
name 1
named 2
native 1
natural 1
nature 1
near 1
nell 1
nesting 1
never 1
new 4
news 1
newspaper 1
next 3
nicknamed 1
nights 1
no 1
noches 8
north 1
not 3
nothing 1
novel 1
ocean 1
of 31
off 3
office 1
oil 1
old 3
on 7
once 1
one 3
only 4
onto 1
open 1
opened 1
opportunity 1
or 2
orange 5
osprey 1
other 1
out 4
outfit 1
overeager 1
oversized 1
own 5
parade 5
parking 1
part 1
passenger 1
pavlov 2
paying 1
people 1
perfect 1
person 1
petty 1
pistol 1
place 1
places 1
plan 4
plans 2
player 1
pleasantly 1
please 1
police 5
poor 1
posh 1
possible 1
prayer 1
precautions 1
preferring 1
preorange 1
prepared 1
preserve 1
press 1
prime 1
private 1
proceed 1
promises 1
psychological 1
public 3
puts 1
queen 5
quickly 2
racket 2
rampant 1
random 1
reaches 1
reaction 1
readers 1
ready 1
real 1
realizes 1
recentlycrowned 1
recovered 1
recovers 1
recruiting 1
redemption 1
refuse 1
refused 1
refuses 2
regain 1
regretfully 1
reinstatement 1
relationship 1
relief 1
remain 2
remaining 1
renegade 1
reporter 2
rescuing 1
residents 1
retaliate 1
retiree 1
return 1
returned 1
revealing 2
reveals 2
ricky 2
ripped 1
role 2
rushing 1
same 1
save 1
says 1
scare 1
sea 2
season 1
security 2
see 1
seen 1
selfpossessed 1
sends 1
sensible 1
serious 1
seriously 1
settling 1
several 1
she 3
ship 2
shivers 1
shopping 1
shot 2
shotgun 1
shoulder 1
show 1
shriner 1
sifting 1
sigh 1
sign 1
signal 1
similar 1
simmering 1
since 2
skeptical 1
skip 1
sleep 1
small 2
smeared 1
snakes 1
snazzy 1
so 2
some 1
soon 1
sorrowful 1
sounded 1
soundly 1
souvenirs 1
spanish 1
sparky 2
species 1
spectacle 1
spectacularly 1
speed 1
spread 1
spree 1
stabbed 1
stadium 1
stands 1
star 1
start 1
starts 1
state 2
states 1
stay 1
stolen 1
stop 2
strike 1
stuffed 1
such 1
suggests 1
suicide 1
suitcase 1
sun 3
sunshine 1
suntan 1
supposed 1
surface 1
surprise 2
surprised 1
surrenders 1
surveilling 1
suspect 1
take 1
taken 2
takes 1
taking 1
task 1
tell 1
tells 1
tennis 2
terrorist 2
terrorists 4
that 16
the 103
their 9
them 6
then 2
