3547088
/m/09krw8
/m/09krw8
Stanisław Lem

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 4
ability 1
able 1
advances 1
ai 1
aid 1
and 6
any 1
as 2
ascending 1
at 1
autistic 1
be 1
became 1
because 1
before 1
being 1
biological 1
book 1
builders 1
but 1
ceased 1
claims 1
communicate 2
computer 2
consciousness 1
consistency 1
contact 1
created 1
development 1
do 1
during 1
end 1
evolution 1
explore 1
failed 1
far 1
fighting 1
finds 1
focus 1
for 3
from 1
future 1
gives 1
golem 2
higher 2
his 1
humanity 1
humans 2
in 5
increase 1
indeed 1
intellectual 3
intelligence 2
interested 1
internal 1
is 2
it 6
its 3
lacking 1
lectures 2
lem 1
level 1
levels 1
logical 1
losing 1
mankind 1
mean 1
might 1
military 2
mouthpiece 1
moving 1
much 1
novel 1
obtains 1
of 5
on 2
or 1
order 1
originally 1
own 3
pauses 1
period 1
personal 1
perspective 1
place 1
possible 1
process 2
reported 1
requirement 1
research 1
serves 1
several 1
singularity 1
so 1
starts 1
stops 1
technological 1
than 1
that 3
the 10
them 2
this 1
to 8
too 1
towards 1
wars 1
was 1
went 1
which 1
while 1
who 1
with 2
written 1
xiv 2
