5874617
/m/0466pdj
/m/0466pdj
Piers Anthony
1985-09-12
16 1
21 1
a 23
abilities 1
accepts 1
ace 1
affairs 1
after 1
again 1
against 2
age 1
agents 1
aging 2
aid 1
all 2
allowed 1
although 2
an 4
and 27
answer 1
answers 1
anywaythat 1
are 1
around 2
arranged 2
arranges 1
artifacts 1
as 9
asked 1
aspect 6
aspects 1
assassinated 1
assured 1
at 6
atropos 4
attend 1
avenge 1
avert 1
awakened 1
be 3
beat 1
because 2
becomes 1
befriended 1
being 1
birth 1
body 2
boy 1
boys 2
bright 1
but 5
by 8
call 1
called 1
can 6
candidates 1
cannot 1
careers 1
cast 1
cause 1
cedric 11
certain 1
challengea 1
chance 1
cheat 1
child 3
clotho 5
collective 1
college 1
comes 1
coming 1
concerned 1
considers 1
contest 1
cousin 2
current 2
cut 2
cuts 1
daughter 3
day 1
death 1
demons 1
desire 1
destiny 1
disposition 1
disturbing 1
do 1
each 1
eager 1
edge 1
end 1
enhance 1
events 1
evil 2
exchange 1
experience 1
face 1
falls 1
family 1
fate 5
fated 2
fateful 1
fates 6
few 1
find 1
finds 2
first 1
for 8
forced 1
form 1
fortune 1
freely 1
frequently 1
friend 1
from 7
fruition 1
futile 1
future 1
game 1
get 2
girls 5
gives 2
go 1
goes 3
good 1
goodbye 1
grandmotherly 1
greatness 1
grow 1
gunshots 1
happy 2
has 6
hastily 1
hates 1
hatred 1
have 4
having 2
he 8
heartedness 1
hell 3
help 2
helps 1
her 19
him 3
his 12
hole 1
home 1
hone 1
hope 1
horse 1
house 1
however 1
human 2
husband 4
husbandtobe 1
i 1
illusion 1
immature 1
in 17
incarnation 4
incarnations 1
indeed 1
individual 1
inexperience 1
inexperienced 1
intellectual 1
interested 1
into 1
investigating 1
invited 1
irish 1
is 17
it 1
join 2
journey 1
jr 1
kaftan 2
kill 1
kind 1
kisses 1
lachesis 2
lack 1
last 1
later 1
learn 2
learning 1
learns 3
leave 2
leaves 4
length 1
liability 1
life 6
likely 1
lives 2
looking 1
love 2
luna 2
madly 1
magic 1
magical 1
magician 4
make 4
makes 1
making 2
many 1
marriage 2
married 1
marry 4
matured 1
matures 1
meantime 1
measures 1
mentor 1
middle 1
middleaged 1
minions 4
morning 1
mortal 1
motion 1
must 3
named 2
natural 1
nature 1
newseach 1
niche 1
niobe 18
no 2
not 5
nothing 1
noticed 1
now 2
nurturing 1
of 32
offering 1
office 4
officeholders 1
oldest 1
on 3
once 1
one 11
only 2
opportunity 2
oppose 1
orb 1
order 3
other 2
out 2
over 4
own 2
pacian 2
pale 1
parents 1
part 1
pattern 1
pay 1
physical 1
place 1
plans 3
plant 1
plot 7
point 1
political 2
powerful 2
pretending 1
prevent 2
previous 1
process 1
prodding 1
prodigy 1
produce 1
protection 1
puts 1
puzzlemazein 1
puzzles 1
quest 2
real 1
realize 1
renewed 1
replace 1
replenish 1
resignation 1
returns 1
risk 1
sadly 1
safe 1
safely 1
same 2
satan 15
save 1
scholarship 1
school 1
searching 1
seeing 1
seek 1
send 1
set 1
sets 1
sharing 1
she 16
short 2
shows 1
simultaneously 1
so 2
some 1
son 4
soon 1
soul 1
spends 1
spins 1
start 1
stinkbomb 1
stock 1
stopped 1
studies 1
substance 1
supervise 1
take 1
takes 3
taking 1
talents 1
tangle 1
tapestry 1
target 1
teenage 1
teller 1
that 8
the 69
their 4
them 5
themunfortunately 1
they 6
this 2
though 1
thread 1
threadmaterial 1
threads 3
three 6
through 1
thus 1
thwart 1
time 6
to 38
together 1
too 1
turmoil 1
two 2
un 1
under 1
unpleasant 1
up 2
upon 1
use 1
very 1
visits 1
void 2
vow 1
wakes 1
war 2
was 3
waste 1
way 3
weave 1
well 1
wetland 1
when 1
while 1
who 7
wife 5
will 4
win 1
wins 1
with 5
without 1
wizardry 1
woman 1
women 2
woods 1
work 1
world 1
worried 1
would 2
year 1
years 2
young 1
younger 1
youngest 2
youth 1
