12690765
/m/02x0mg7
/m/02x0mg7
Peter Watts
2006-10-03
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 3
alien 4
an 2
analyze 1
and 9
antimatter 1
are 2
artificial 1
as 2
attempt 1
aware 1
be 2
becomes 2
beginning 1
being 1
but 1
by 2
called 1
capable 1
captain 1
clear 1
consciousness 2
considers 1
contact 1
crew 2
detected 1
earth 3
eighty 1
engage 1
eventually 2
explore 1
exterminate 1
extremely 1
first 1
five 1
future 1
good 1
greatly 1
he 1
himself 1
his 1
huge 1
humanity 1
in 3
incoming 1
inhabitants 2
intelligence 2
is 2
it 1
its 4
kamikaze 1
level 1
life 1
like 1
luck 1
may 1
microsatellites 1
might 1
mind 1
mission 1
narrator 1
nature 1
nonsentient 1
of 7
offshoot 1
only 1
out 1
outmatched 1
overrun 1
payload 1
ponders 1
presence 1
realizes 2
returns 1
rorschach 1
runs 1
sent 1
ship 1
siri 2
spark 1
strives 1
survey 1
that 1
the 13
their 1
theseus 2
they 2
this 1
thousands 1
threat 1
through 1
to 5
unconscious 1
understand 1
universe 1
using 1
utility 1
vessel 4
what 2
when 2
which 1
while 1
with 2
years 1
