1090537
/m/0454fb
/m/0454fb
Steven Erikson
1999-04-01
2nd 4
6th 1
a 22
about 1
adjunct 2
advancing 1
against 3
ago 1
aid 1
aim 1
alliance 2
ally 1
also 1
ambitions 1
an 1
and 14
andii 2
anomander 3
another 1
apsalar 1
are 3
army 5
around 1
as 2
assassin 2
assassinated 1
assassins 2
at 1
attempt 1
attention 1
back 1
battle 2
be 3
been 3
before 1
begun 1
being 1
besieging 1
betrayal 1
boy 1
bridgeburner 3
bridgeburners 2
but 1
by 7
cabal 1
called 3
calls 1
campaign 2
capitulating 1
captain 1
centres 1
characters 1
chief 1
cities 2
city 9
civic 1
claw 2
collide 1
commander 1
company 1
conartists 1
concerned 1
confirmed 1
conquer 2
conquest 1
considering 1
contact 1
continent 1
continued 1
continues 1
crimson 1
crokus 2
damaging 1
dancer 1
danger 1
daru 1
darujhistan 5
deadhouse 1
declaration 1
depart 1
destruction 1
details 1
determine 1
developments 1
disapproves 1
does 1
dominated 2
dozen 1
dujek 3
during 2
east 1
either 1
elimination 1
elsewhere 1
emperor 3
empire 11
empress 2
ends 1
engineering 1
erikson 1
evaded 1
even 1
fact 1
falls 2
few 2
fiddler 1
fierce 1
figures 1
final 1
finally 1
fist 1
floating 1
following 1
for 6
forces 1
forcing 1
former 1
fortress 2
free 2
freed 1
from 7
fruitlessly 1
function 1
further 1
ganoes 1
gardens 1
gates 1
genabackis 3
gods 1
government 1
group 2
grows 1
guard 1
guild 1
has 4
have 1
he 1
head 1
her 2
high 3
higher 1
hills 1
him 1
hiring 1
his 5
holding 1
holy 1
homeland 1
hope 1
host 1
humans 1
ice 1
imass 1
imperial 1
in 13
including 1
increased 1
increasingly 1
infantry 1
into 2
involvement 1
involves 1
is 9
it 2
itko 1
its 2
jaghut 1
kalam 1
kan 1
kellanved 1
laseen 3
late 1
lead 1
leader 2
led 1
left 1
legendary 1
lord 1
lorn 2
losses 1
loyal 1
mages 2
magic 1
magical 1
malaz 1
malazan 5
malazans 1
massively 1
massuprising 1
may 2
meanwhile 2
member 1
members 2
memories 1
mercenary 1
monstrous 1
moon 2
mouse 1
named 3
near 1
negotiate 1
new 1
nonhuman 1
notable 1
novel 3
now 4
of 38
offers 1
older 1
on 1
once 2
one 2
onearm 1
only 1
opens 2
oppose 1
or 1
other 3
out 1
pale 4
pannion 1
paran 4
path 1
patron 1
people 1
plot 2
plots 1
police 1
possessed 1
power 1
powerful 2
prologue 1
quarter 1
rake 5
ranking 1
reason 1
rebellion 1
recruit 1
releases 1
remaining 1
representative 1
rope 1
rule 1
rulers 1
rules 1
sacking 1
same 1
secret 1
secretive 1
seer 1
sent 2
sequence 1
sergeant 1
series 1
seriously 1
seven 2
several 4
severe 1
shadowy 1
she 1
skips 1
soldier 1
someone 1
something 1
sorry 2
southeast 1
spawn 1
species 1
speculate 1
story 2
structure 1
struggles 1
subplot 1
substantial 1
suffers 1
supplanted 1
surly 1
survive 1
surviving 1
take 1
tattersail 1
thanks 1
that 4
the 74
their 2
then 2
there 1
these 1
they 2
thief 1
third 1
this 1
thousands 1
threat 1
time 2
tiste 2
tlan 1
to 18
total 1
toward 1
truce 1
true 1
try 1
turns 1
two 1
tyrant 1
uncover 1
under 1
undermine 1
underworld 1
unit 1
unusual 1
up 1
use 1
various 2
volunteer 1
wants 1
war 2
wars 1
were 1
when 4
which 1
while 1
whiskeyjack 3
who 3
whose 2
with 5
withdraw 1
withdrawal 1
withdraws 1
within 3
witnesses 1
work 1
working 1
world 2
year 2
years 4
young 3
