1467684
/m/053w81
/m/053w81
Lois Lowry
2004
a 15
ability 3
adulthood 1
again 1
alike 1
all 2
allows 1
altruistic 1
an 4
and 13
angry 1
animated 1
appears 1
are 4
as 7
at 4
athlete 1
attack 1
attempt 1
away 1
awkward 1
back 1
barge 1
be 3
beasts 1
become 1
becomes 1
before 1
begins 2
being 1
best 1
beyond 1
blue 1
bluethey 1
book 4
books 1
borders 1
boundaries 1
branch 1
bring 1
but 1
by 3
called 2
capable 1
captured 1
carrying 1
cast 1
caused 1
causes 1
change 2
changed 1
changes 1
child 1
close 1
cloth 1
comeshoulderhigh 1
communities 3
community 4
compassionate 1
consequently 1
contact 1
could 1
danger 1
dangerous 1
daughter 1
days 1
death 1
decide 1
decides 1
deliberate 1
delivering 1
derived 1
desperate 1
disability 1
discord 1
displaced 1
do 1
dog 1
downtownsman 1
dying 1
early 1
end 1
energetic 1
entangle 1
enter 1
enters 2
expense 1
favor 1
fear 1
feels 1
fit 1
for 1
foreboding 1
foreshadowing 1
forest 9
form 1
from 7
full 1
fury 1
gathering 3
generous 1
gift 3
gone 1
gravely 1
ground 1
hands 1
hardly 1
has 4
have 2
he 6
healer 1
healing 2
health 1
help 1
her 2
him 2
himself 2
his 6
homeand 1
homes 1
if 1
impatient 2
in 13
incident 1
individual 1
injured 1
injuries 1
insects 1
inside 1
integrity 1
intent 1
into 1
introduced 1
is 12
it 2
itself 1
jamison 1
jonas 1
journey 1
kill 1
kira 4
know 1
known 2
lack 1
lacking 1
leader 4
life 1
like 1
lives 2
longer 1
lowry 1
mad 1
made 1
makes 1
man 1
manages 1
many 2
mart 1
matt 1
matty 13
mentor 2
messenger 3
most 2
name 1
names 1
near 1
never 1
new 2
no 1
norm 1
not 1
note 1
nursing 1
of 22
often 1
old 1
on 1
one 1
only 2
or 1
other 2
out 2
outside 1
overcome 1
own 1
patterns 1
people 5
perilous 1
permitting 1
person 1
plants 1
poetry 1
point 1
poisonous 1
possesses 1
possible 1
power 1
powers 1
previous 1
prophecylike 1
protector 1
put 1
puts 1
quotation 1
realm 1
reasonably 1
received 1
refers 1
region 1
remote 1
rescued 1
restore 1
resulting 1
retrieve 1
road 1
runners 1
safe 1
save 2
says 1
scattered 1
schoolteacher 1
seeing 1
seems 1
seer 3
send 1
sense 1
seriously 1
set 1
several 1
sharp 1
side 1
some 1
sometimes 1
soon 1
special 1
spite 1
spoken 1
stiller 1
stinging 1
story 1
such 1
sudden 1
tells 2
temperament 1
that 2
the 39
their 2
them 4
themselves 1
they 2
things 1
this 4
those 2
thread 1
threshold 1
through 2
throughout 1
times 1
to 25
today 1
town 2
trade 2
transition 1
travel 1
twigs 1
undergoing 1
understands 1
unseeing 1
unwanted 1
use 1
uses 1
usually 1
very 1
viewing 1
village 7
villager 1
villagers 3
wake 1
warned 1
warnings 1
was 1
we 1
weave 1
what 2
when 1
where 1
wherein 1
which 7
who 7
wholeness 1
whom 1
will 1
with 2
without 1
word 1
years 1
you 2
young 1
your 1
