22981328
/m/064lb_y
/m/064lb_y
Dudley Pope
1967
14 1
177 1
4 1
a 7
aboard 1
acting 1
admiral 1
after 3
allowing 1
also 1
american 1
an 1
and 11
armed 1
as 2
at 2
atlantic 1
attempt 1
battle 4
be 1
become 1
blowing 1
book 1
british 3
but 1
by 4
cape 1
captain 1
captured 1
capturing 1
carry 1
cartagena 1
cartegena 1
charge 1
come 1
commanding 1
commissioner 1
commodore 1
competition 1
crdoba 1
credit 1
crippled 1
cutter 1
danger 1
de 1
deciding 1
dies 1
dispatched 1
documents 1
drift 1
drifting 1
during 1
encounter 1
encounters 2
entangled 1
exchange 1
experiences 1
fake 1
faked 2
far 1
february 1
fight 1
find 1
finds 1
fleet 5
follows 1
for 3
forces 1
foreign 1
fouling 1
frigate 1
frigates 1
from 6
gains 1
gibraltar 2
great 1
had 1
he 6
help 1
herself 1
him 2
himself 1
his 5
hms 1
horatio 1
house 1
however 1
hulk 3
imprudent 1
in 8
inferior 1
integral 1
into 3
is 3
it 1
italians 1
jackson 1
jervis 1
john 1
jos 1
jose 1
kathleen 8
knocks 1
la 2
learns 1
leave 1
liberty 1
lord 2
lt 1
marchesa 2
messages 1
nearly 1
nelson 3
nicholas 2
no 1
nonforeign 1
of 11
off 2
official 1
on 2
one 1
other 1
passes 1
port 2
pressed 1
prisoners 1
proceeds 1
protections 1
quickly 1
ramage 11
realizing 1
recaptured 1
receives 1
refugees 2
reluctance 1
remove 1
rescued 2
returning 1
returns 1
rings 1
role 1
sabina 2
sail 1
sailor 1
sailors 1
san 2
sea 2
sends 1
several 2
ship 4
ships 2
shooting 1
sir 1
situation 1
soon 4
spanish 6
spies 1
squall 1
st 1
stealing 1
steals 1
stern 1
support 1
surrender 1
takes 2
that 2
the 46
then 1
these 1
they 1
though 1
through 1
to 11
tow 2
transporting 1
two 1
victorious 1
vincent 1
voyage 1
warn 1
where 2
which 2
while 2
who 1
will 1
with 2
would 1
wound 1
xebec 1
