4226931
/m/0br06x
/m/0br06x
Tove Jansson
1946
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 13
after 1
almost 1
along 1
and 11
another 1
are 3
arrive 1
ask 1
attacked 1
attend 1
back 1
baked 1
boat 1
brother 1
bush 1
butterfly 1
buy 1
by 3
cake 1
cave 4
comet 5
crocodiles 1
cross 1
dance 1
dark 1
deadly 1
destroy 2
discover 1
distracted 1
drawn 1
dries 1
earth 1
exact 1
fall 1
family 1
find 2
fishing 1
flees 1
follow 1
follows 1
forest 2
friend 1
friends 1
from 1
garnets 1
get 1
gets 1
giant 1
gifts 1
go 2
group 1
has 3
he 1
heat 1
hemulen 3
her 1
his 1
hole 1
home 2
however 2
if 1
in 4
into 2
it 1
its 1
join 1
joins 1
later 1
lizard 1
lonely 1
maiden 1
may 1
meet 3
misses 1
monkey 2
moominmamma 1
moomintroll 3
moominvalley 2
mountains 1
muskrat 2
mysterious 1
net 1
observatory 2
on 3
path 1
pearl 1
pearls 1
professors 1
rejoice 1
rescued 1
runin 1
sail 1
saves 1
scared 1
scientists 1
sea 1
see 1
she 1
silk 2
sniff 2
snork 2
snufkin 1
so 1
steal 1
stilts 1
store 1
stuck 1
tell 1
tells 1
that 1
the 27
their 2
them 4
then 4
they 12
time 1
to 6
tries 1
trousers 1
up 1
valley 1
visit 1
way 2
welcome 1
when 2
which 1
who 3
will 2
with 4
