4942424
/m/0cw9dl
/m/0cw9dl
David Leavitt

a 20
about 4
account 1
acquaintance 1
admits 2
alex 3
an 3
and 23
another 1
apartment 2
are 1
argument 1
article 1
as 3
ask 1
asking 1
asks 1
at 1
attempts 1
automat 1
averse 1
back 3
bar 3
be 1
bed 2
before 2
being 3
big 1
books 1
boy 1
brad 3
broken 1
bumps 1
burger 1
by 1
call 1
calls 7
can 2
child 1
childhood 1
cinema 2
comes 1
coming 1
confesses 1
coop 1
cot 1
cranes 1
date 1
days 1
derek 2
dinner 2
dishes 1
do 1
does 1
doesnt 1
done 1
dorm 1
drink 1
drunk 1
east 1
eliot 9
else 1
emulates 1
eventually 1
experiences 1
father 2
few 1
finally 2
find 2
finds 1
fine 1
fix 1
flat 2
flatmate 1
for 5
forget 1
foster 1
frank 1
friend 1
from 1
gay 8
geoffrey 1
get 1
gets 4
getting 1
girls 1
go 3
goes 7
going 2
half 1
hanging 1
hangs 1
has 1
have 3
he 20
her 4
him 4
his 14
home 1
hotline 1
how 3
hurt 1
husband 1
in 5
into 4
introduce 1
invites 1
is 8
it 3
jerene 5
kamarov 1
keen 1
king 1
kisses 1
languages 1
later 4
latter 1
leaves 1
left 1
library 1
likes 1
lives 1
look 1
lost 1
lot 1
man 4
masturbate 1
meets 4
melchor 2
men 1
met 1
more 1
morning 1
mother 1
much 1
named 1
needs 1
neighborhood 1
nevertheless 1
night 2
not 2
number 2
of 2
off 1
old 1
on 4
one 1
only 1
out 7
outside 1
owen 9
parent 1
parents 6
passionetly 1
past 1
penn 1
philip 21
phoneline 1
place 1
pornographic 2
properly 1
psych 1
reads 1
ready 1
realizes 1
really 1
recalls 1
refused 1
relationship 1
remember 1
research 1
return 4
rob 1
room 1
rose 6
ruminate 1
runs 1
sally 1
says 3
see 1
seems 1
sent 1
seventeen 1
sex 3
shabby 1
shave 1
she 3
soaked 1
sobbing 1
someone 1
son 2
soon 1
spurned 1
starts 2
stay 1
subsequently 1
sunday 1
takes 1
talk 2
talks 1
teaches 1
tells 2
tersely 1
that 5
the 14
their 3
them 2
then 10
there 3
they 8
thing 1
thinks 1
this 1
though 1
through 2
time 1
to 37
together 1
too 1
town 1
tried 1
two 1
unsure 1
until 1
up 7
village 1
visits 1
wake 1
walk 1
walks 1
ward 1
was 4
way 1
weeping 1
werent 1
when 3
where 4
while 1
who 3
window 1
winston 1
with 4
would 2
wrong 1
young 1
