2400949
/m/079hrb
/m/079hrb
Mark Dunn
2004-03
a 11
accidentally 1
after 1
along 1
and 11
are 3
art 1
as 4
asides 1
author 1
bathtub 1
becomes 1
being 3
between 1
biography 1
blashette 2
book 1
born 1
business 1
by 1
circus 1
collected 1
concept 1
convinces 1
copy 2
cover 1
deodorant 1
destroyed 1
details 1
documented 1
dunn 4
editor 2
endnotes 5
excessively 1
exchanged 1
exhaustively 1
explained 1
famous 1
ferret 1
fictional 1
footnotes 4
fortune 1
framing 1
from 1
goes 1
had 1
his 2
how 1
however 1
ibid 1
identifies 1
in 2
interspersed 1
into 1
is 3
it 2
itself 2
jonathan 1
knocked 1
left 1
legs 1
letters 1
life 2
luckily 1
made 1
make 2
man 1
manuscript 2
marginal 1
mark 1
most 1
necessitates 1
necessity 1
not 2
notes 2
novel 3
obvious 1
of 7
on 3
one 1
only 1
out 1
performer 1
philanthropist 1
placed 1
publish 1
pun 1
reader 1
refer 1
related 1
researched 1
reviews 1
sent 1
series 1
so 1
story 1
survived 1
tangents 1
term 1
that 2
the 17
them 1
themselves 1
therein 1
they 1
three 1
threefooted 1
through 1
throughout 1
to 4
together 1
try 1
up 1
use 1
virtue 1
voluminous 1
was 2
while 2
who 1
with 1
yet 1
