3028548
/m/08lm6c
/m/08lm6c
Dr. Seuss
1965
442 1
a 27
about 1
acquired 1
acts 1
after 2
against 1
ahead 1
air 1
all 6
allows 1
alone 1
along 2
also 1
an 4
and 22
anything 1
are 5
armed 1
army 2
as 3
at 9
awakens 1
back 1
bad 1
ball 1
banks 3
bat 2
battle 1
be 3
beautiful 3
bed 1
been 1
before 1
behind 2
big 1
birds 1
bites 2
boo 1
boola 1
bought 1
bound 1
bugs 1
bus 4
but 10
by 8
camel 4
can 1
cannot 1
carefree 1
careful 1
cat 1
catch 1
caught 2
changes 1
city 3
cliff 1
climbs 1
close 1
come 7
comes 1
confined 1
considered 1
continuously 1
couple 1
daisies 1
day 4
days 2
decided 1
decides 2
direction 1
directions 1
discover 1
discovers 4
dives 1
diving 1
do 2
doctor 1
dog 1
door 2
doorman 5
down 2
dr 1
drafts 1
dreaming 1
driver 4
due 1
eager 1
early 1
end 1
escape 4
evict 1
experiencing 1
explains 2
face 3
family 2
few 1
fight 1
fighting 1
finally 1
find 2
finds 1
first 2
floodwaters 3
for 9
four 1
friendly 1
from 6
gates 1
general 2
genghis 1
gets 1
gives 1
gleeks 1
go 1
goal 1
goes 1
going 3
grandpa 1
green 1
greeted 1
had 1
hand 1
happens 1
happy 1
hard 1
has 5
have 5
he 13
hike 1
him 7
himself 1
his 16
home 1
house 2
hundred 1
hurts 1
i 1
im 1
immediate 1
immediately 1
in 11
inside 1
instead 2
into 3
invites 2
is 5
isnt 1
it 3
ive 1
jicker 2
join 1
joins 1
key 2
khan 1
kill 1
kind 1
known 2
knows 1
lazy 1
learned 1
least 1
leave 1
leaving 3
life 3
like 2
line 1
lives 1
lock 1
long 1
look 1
looks 1
luck 1
makes 1
man 2
manages 1
many 1
me 1
mice 1
midwinter 2
miles 1
more 2
most 1
move 1
moved 1
my 1
nearest 1
neck 1
necked 1
network 1
never 2
next 2
night 2
no 1
note 1
nothing 1
now 3
of 21
off 2
on 4
one 4
only 2
opens 1
or 1
order 1
orders 1
out 4
outnumbered 1
over 2
owls 1
own 1
palm 1
pass 2
perilous 1
pest 1
pomplemoose 1
poor 1
poozer 1
poozers 3
president 1
protagonist 24
proving 1
pull 1
punctured 1
quail 2
quilligan 1
rains 1
reached 1
reader 1
ready 2
realizing 2
recent 1
rescues 1
resembling 1
rest 2
retreat 1
river 3
rock 1
rocks 1
rope 2
rushes 1
sam 1
savior 1
schmitz 1
see 1
service 1
sets 1
shelter 2
sick 1
skrink 2
skritz 2
slapping 2
sleeping 1
sleepless 1
slippard 2
snell 1
solla 7
sollew 7
some 2
somebody 1
soon 2
spend 1
spends 1
springs 1
still 2
sting 1
stop 1
storm 1
story 1
stroll 1
stuck 1
tail 1
take 1
taking 1
telling 1
than 1
that 8
the 80
their 1
them 1
there 1
third 1
this 2
three 1
through 1
throwing 1
tires 1
to 37
toe 1
too 2
traveling 2
tries 1
tripping 1
trouble 1
troubled 1
troubles 14
trying 1
tunnels 1
twelve 1
twenty 1
two 1
until 1
up 2
upcoming 1
valley 2
vent 1
very 1
vows 1
vung 2
wahhoo 2
washed 1
way 3
weeks 2
wheel 1
when 1
where 2
which 2
while 1
who 2
will 3
with 5
without 1
woowall 1
work 1
worse 1
wrong 1
wubble 3
you 1
young 1
