27955738
/m/0ch1vnw
/m/0ch1vnw
Peter Carter

100s 1
11 1
13 2
1800s 1
1870 1
1871 2
1873 1
1880s 1
20th 1
a 35
abel 1
abilene 10
about 7
abrupt 1
across 3
adult 1
afloat 1
african 1
after 9
aftermath 1
again 3
age 1
ago 1
alive 1
all 5
almost 1
alone 2
american 2
americans 1
an 4
and 57
anger 1
angry 1
announces 1
another 1
appears 1
are 10
area 1
arnold 1
arrive 1
arrives 2
arsonist 1
as 9
ask 1
at 2
author 1
avenge 3
away 1
back 6
bandits 1
bank 1
bankruptcy 1
barely 1
be 3
beaches 1
beauregard 1
becomes 1
becoming 1
been 2
before 2
befriends 1
beginning 1
begins 6
being 2
belts 1
ben 51
benjamin 1
bens 11
besser 4
bessers 1
between 1
bill 1
bitter 1
black 1
blood 1
bo 9
boards 1
bodyguards 1
bond 1
boom 2
boomtowns 1
boots 1
border 1
borderlands 1
bos 3
boss 2
both 1
bottom 1
bought 1
bounty 1
boy 1
british 1
broke 2
broken 1
brother 4
brothers 5
brusik 3
brutal 1
buffalo 1
bunch 1
business 7
businessman 1
but 23
by 13
california 4
camp 1
camping 1
can 3
card 1
care 2
carter 1
catch 2
cattle 8
causing 1
celebrity 1
century 1
challenge 1
challenging 1
change 2
changes 3
changing 2
chase 1
chases 1
chess 1
city 6
clarks 1
clement 2
close 1
cold 1
communism 1
communist 1
complete 1
completely 1
confirms 1
confused 1
considers 2
contemplate 1
continued 1
cook 1
cooks 1
corners 1
county 2
cowboy 3
cowhands 2
coworker 1
crashes 1
crime 1
crooked 1
crossing 1
crucial 1
currently 1
curtis 5
daughter 1
dawson 1
day 1
days 1
dead 2
death 4
deaths 1
decades 1
decide 2
decides 3
decision 1
defend 1
degrading 1
delight 1
demeaning 1
demise 1
departing 1
desert 1
despite 1
determined 1
did 1
die 1
died 1
dies 1
difficult 1
discover 5
discovers 3
dismay 2
disrespect 1
disrupted 1
do 1
dodge 5
doesnt 2
down 3
dream 1
drive 9
during 2
dutch 8
dutton 2
duttons 1
each 1
eagerly 1
early 2
economic 1
else 1
encounter 1
entire 1
equipped 1
escape 1
estranged 1
even 2
events 1
eventually 3
evicted 1
eyes 1
faced 1
fact 1
fading 1
fall 1
fame 1
family 5
famous 2
farm 2
fend 1
few 2
fictional 1
fight 1
fighter 1
finally 2
find 1
finds 2
fit 1
fled 1
flo 2
floorboards 2
for 11
forced 2
foreign 1
forgets 1
four 1
free 1
freedom 1
friend 1
friends 1
friendship 1
from 7
frontier 1
fun 1
funeral 1
fur 2
furs 1
further 1
future 2
gain 1
game 1
germany 1
get 4
gets 2
getting 2
ghost 1
gives 1
go 2
goblinka 1
going 3
gone 2
goodbye 1
grave 1
ground 1
group 1
growing 1
grows 2
guards 1
guide 1
gun 3
gunfight 1
guns 1
had 4
half 1
hands 1
hardened 1
harsh 2
has 4
hat 1
hats 2
haunted 1
having 1
he 19
heartbroken 1
help 1
henry 4
her 1
hes 1
hickok 3
hid 2
hidden 1
hides 1
him 13
himself 1
hire 3
hired 1
hires 1
his 43
hits 1
home 1
homeless 1
hope 2
hopes 2
hoping 1
horror 3
horseback 1
hours 1
how 2
however 6
hunters 1
hunting 1
hurry 1
if 1
ignores 1
immigrant 1
immigrants 1
in 33
informs 2
instead 2
intimidated 1
into 6
is 18
it 6
its 2
jacob 2
jeopardizing 1
job 7
jobs 1
joe 1
join 1
june 1
just 5
kansas 4
keep 2
keeps 1
kessel 16
kessels 3
kill 1
killing 2
last 4
late 2
law 1
learns 2
leash 1
leather 1
leave 1
leaves 1
leaving 2
left 3
lessons 1
life 9
lifestyle 1
lifts 1
like 5
live 2
living 1
local 4
location 1
look 1
lookout 2
lost 2
louis 2
make 2
makes 1
making 1
man 3
manages 3
market 1
married 1
marshal 3
marshall 1
matters 2
meaning 1
meets 1
memory 1
men 3
met 1
mind 1
miserable 1
missed 1
missouri 1
modern 1
money 6
months 1
more 7
mother 4
mountains 1
move 2
multiple 1
murdered 1
murderer 1
name 1
named 2
native 1
nave 1
nearby 1
nearly 1
neighbor 1
new 9
newfound 2
next 2
niggers 1
night 2
no 1
not 3
nothing 3
novel 5
now 7
obeys 1
of 41
off 1
office 1
old 1
older 1
on 12
one 1
only 3
onto 1
opens 1
opportunities 1
opportunity 1
or 4
order 1
oriented 1
orphan 1
other 1
out 5
outlook 1
outside 1
over 4
overall 1
owed 1
owing 1
own 2
paid 1
pair 1
partner 2
party 1
pays 1
people 2
peter 1
pinkerton 1
plagued 1
plains 2
plan 1
plot 1
poor 1
poverty 1
prairie 2
preacher 1
quickly 8
quiet 1
rags 1
rain 1
rampant 1
range 1
rapidly 1
real 1
realizes 1
reason 1
receive 1
referring 1
reluctantly 2
respect 1
respects 1
rest 1
retire 1
retrieving 1
return 1
returns 2
reveals 1
revenge 1
riches 1
ride 1
rise 1
robbed 1
rock 1
rocky 1
rumor 1
rumors 2
run 2
running 1
rural 1
safety 1
said 1
sam 6
sand 1
says 1
sections 1
seems 1
selling 3
sense 1
set 3
sets 1
several 1
shocked 2
shoot 2
shoots 1
shopkeeper 1
shortly 2
shot 4
side 1
simply 1
sister 2
skewered 1
skinner 1
skinning 1
slowly 1
snow 1
snowstorm 1
so 3
society 1
some 1
someday 1
somewhat 1
soon 15
spans 1
spends 1
spot 1
spurs 1
st 2
stabbed 1
stable 1
started 1
starting 1
state 2
stay 2
still 2
stock 1
stokes 2
stops 2
store 2
stores 1
storms 1
story 3
struggling 1
successful 2
sudden 2
suddenly 1
suffer 1
summer 1
sunny 1
supply 1
survive 1
surviving 1
suspects 1
take 2
taken 1
tell 1
tells 2
texas 5
than 1
that 17
the 93
their 10
them 5
themselves 1
then 3
they 11
thick 1
this 1
those 1
though 1
thoughts 2
three 1
through 1
throughout 2
thugs 1
ties 1
time 2
times 1
to 73
together 1
tom 3
tough 2
town 19
towns 1
tracks 1
train 1
traumatic 1
tries 1
trouble 1
try 1
turned 1
two 5
tyler 1
under 1
underneath 3
unraveling 1
up 3
used 2
victim 1
visits 1
vow 2
wanted 1
war 1
warns 1
was 5
watch 1
way 3
wealthy 1
went 1
west 1
western 2
when 7
where 1
whether 2
which 1
who 1
whole 1
widowed 1
wild 4
winter 1
with 15
withdraws 1
without 2
women 1
wonder 1
wondering 1
working 3
worried 3
worse 2
would 5
wrath 1
wrong 1
year 4
years 3
yet 2
york 3
young 1
younger 1
