3117333
/m/08sk25
/m/08sk25
Alistair MacLean
1986
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
a 7
aboard 1
activated 1
aegean 1
and 6
appear 1
ariadne 2
at 1
been 1
before 1
bomber 1
bring 1
by 1
can 1
causing 1
commander 1
connected 1
crashing 1
crew 2
destruction 1
detonation 1
devastating 1
disasters 1
electronic 1
eruption 1
explode 2
fire 1
from 1
greek 1
guise 1
have 1
hms 1
hydrographic 1
in 2
include 1
intelligence 1
into 1
it 1
large 1
loaded 1
mission 1
must 1
mysterious 1
navy 1
nearby 1
nuclear 2
of 4
off 1
on 3
once 1
one 1
others 1
out 1
plane 2
pleasure 1
possibly 1
potential 1
raise 1
rescued 1
royal 1
saboteurs 1
santorini 1
sea 2
setting 1
sinking 1
somehow 1
station 1
strategic 1
survey 1
survivors 1
svsantorin 1
sympathetic 1
talbot 1
the 13
to 2
tremendous 1
tsunami 1
turns 1
two 1
tycoon 1
under 1
vessel 1
volcano 1
wealthy 1
weapon 1
weapons 1
which 1
while 1
who 1
winter 1
with 3
witnesses 1
worldwide 1
would 1
yacht 2
