9309742
/m/028408g
/m/028408g
Philippa Gregory
2005
a 19
ability 2
about 1
accept 1
accompany 1
accomplish 1
adoration 1
affair 1
african 1
against 1
alhambra 1
almost 2
always 1
an 3
and 30
angrily 1
angry 2
anne 3
another 1
any 1
apologizes 1
appeal 1
arabic 1
arabicmoorish 1
are 4
areas 1
arthur 9
as 10
at 2
attracted 1
audacious 1
away 1
awkwardness 1
baby 1
battles 1
be 3
beautiful 1
because 1
become 2
becomes 5
bed 1
been 1
begin 1
beginning 1
begs 1
behavior 1
being 1
benefit 1
betrothal 1
better 1
between 1
bit 1
boleyn 3
book 3
both 1
bravely 1
brother 2
brought 1
but 5
by 2
called 1
care 1
cares 1
carry 1
castile 1
castle 2
catalina 10
catherine 1
catholic 2
causes 1
changes 1
child 1
childhood 1
cold 2
commander 1
consider 1
constantly 1
consults 1
consummate 1
consummated 1
control 1
conversation 1
convinces 1
country 1
cries 1
cultures 1
customs 1
dangers 1
death 1
decides 1
decisions 1
decorating 1
deny 1
depicted 1
depicts 1
desire 1
desperation 1
dies 1
discordant 1
discuss 2
do 1
doctor 1
doctors 1
does 4
dogsmerfield 1
dress 2
drive 1
effectively 1
encourages 1
ends 2
england 6
english 2
even 2
exhibiting 1
exposed 1
expresses 1
faces 1
families 1
family 1
feelings 1
few 2
fiance 1
fighting 1
finally 1
first 2
five 1
follow 1
food 1
for 8
freezing 1
from 1
future 1
girl 2
great 1
greedy 1
gregory 1
gruff 1
had 1
happened 1
happiness 1
happy 1
has 2
have 3
having 1
he 7
help 1
henry 11
her 20
him 9
his 8
history 1
honest 1
how 1
however 2
husband 1
i 1
ignores 1
ill 2
in 13
infanta 1
intimate 1
is 16
isabella 1
jealous 1
katherine 6
keeps 1
king 4
kingdom 2
knowledgeable 1
knows 1
lack 1
ladyinwaiting 1
later 1
leader 1
leading 1
learns 1
lies 1
life 2
litter 1
ludlow 1
make 2
making 1
manipulative 1
manner 1
many 1
marriage 4
marries 1
marry 3
meal 1
meets 1
military 1
miscarriage 1
miserably 1
months 2
moorish 1
moors 2
more 1
most 1
mother 1
much 1
muslims 2
must 2
naivety 1
name 1
named 1
needed 1
nervous 1
next 1
night 3
not 6
novel 2
of 18
old 1
on 4
one 1
or 2
order 1
orders 1
other 1
out 2
outstanding 1
over 1
palace 1
particularly 1
past 1
people 1
persecuted 1
place 2
plan 1
pregnancy 1
prepares 1
pretending 1
pride 1
prince 2
princess 1
promise 1
proposes 1
prosper 1
put 1
queen 5
quiet 1
rally 1
reach 1
real 2
realizes 1
rejects 1
relationship 3
religion 2
reproaches 1
resulting 1
results 1
rigidly 1
sadly 1
safe 1
same 1
second 1
seen 1
several 1
share 2
she 20
showing 1
sickness 1
sin 1
skills 1
skips 1
so 3
son 1
spain 2
spanish 2
special 1
spoiled 1
start 1
starts 1
strong 1
strongly 2
suddenly 1
sweating 1
tactical 1
tactics 1
tells 2
tenderly 1
tension 1
than 1
that 10
the 32
their 10
them 2
then 1
these 1
they 9
things 3
this 2
though 2
title 1
titles 1
to 30
together 1
tolerance 1
too 1
towards 2
travel 1
traveling 1
tricking 1
troops 1
truly 1
trying 1
tudor 1
two 1
type 1
uncomfortable 1
under 1
understanding 1
unhappy 1
unkind 1
unknowingly 1
unlikely 1
upset 1
using 1
usually 1
very 3
vii 4
viii 2
virgin 2
vision 1
wales 1
wants 1
was 3
way 1
wears 1
weather 1
wedding 2
well 2
when 7
which 2
while 1
who 2
whom 1
will 3
wise 1
with 6
without 1
woman 1
wonderful 1
would 1
years 2
young 2
younger 1
