5745884
/m/0f2fkd
/m/0f2fkd
Laura Albert
2001
{"/m/05hgj": "Novel"}
a 15
above 1
abuse 1
abused 1
account 1
after 1
all 1
am 1
and 12
anyone 1
arah 1
as 7
aspires 1
at 1
away 1
bad 1
be 2
beauty 1
become 1
becomes 1
being 1
boy 1
boys 1
brothel 2
but 1
by 1
called 3
calls 1
can 1
charges 1
cherry 3
child 2
collection 1
continually 1
cruel 1
cuts 1
dark 1
deceitful 1
dickensian 1
distinct 1
doesnt 1
dressed 1
earlier 1
elements 1
enters 1
entranced 1
escapes 1
eventually 1
exploitation 1
expressed 1
faces 1
falls 1
famous 1
feel 2
finally 1
find 1
for 3
forced 1
found 1
friends 1
girl 2
glad 2
greatest 1
hair 1
hands 1
has 4
he 4
heart 1
her 6
himself 4
his 4
how 1
humorous 1
imitation 1
in 4
is 4
its 1
itself 1
le 3
learns 1
left 1
leroy 1
less 1
lighter 1
lizard 2
lot 2
loup 3
love 1
makes 1
male 1
man 1
many 1
more 2
most 1
mother 3
much 1
murderous 1
mythical 1
no 1
novel 1
now 1
number 1
of 9
off 3
one 1
only 1
operation 1
out 1
passes 2
pimp 3
pooh 1
prostitute 3
protagonist 1
quest 1
relates 1
relative 1
renaming 1
returns 1
rival 1
runs 2
safety 1
saint 1
sarah 8
scalp 1
scarring 1
service 1
sets 1
short 1
stop 1
story 3
such 1
tell 1
than 2
that 1
the 16
there 1
things 1
though 2
through 1
times 1
to 8
touch 1
tricks 1
truck 1
truckers 2
turn 1
twelveyearold 1
up 1
upon 1
vanilla 2
viciously 1
virginal 1
virginia 1
visit 1
west 1
who 1
with 4
women 1
work 1
writing 1
year 1
young 1
youngest 1
