1265587
/m/04ng6w
/m/04ng6w
Nick Sagan
2003
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 24
able 2
about 2
academy 1
actions 1
adam 1
address 1
after 3
afterwards 1
against 2
agrees 1
all 2
almost 1
alone 3
also 2
although 1
america 1
american 1
and 29
angry 1
another 1
anyone 1
anything 3
are 6
as 3
asks 2
assigned 1
assumes 1
at 6
attacked 1
back 5
battle 1
be 2
bears 1
because 2
beds 1
been 2
before 3
beginning 1
begins 1
being 2
believe 1
believes 2
best 1
between 2
book 3
both 5
boys 1
break 1
breaks 2
breed 1
bring 1
brings 1
broken 1
but 6
by 1
call 2
called 1
can 2
car 1
care 1
catastrophe 1
cathedral 1
cham 1
champagne 2
charlotte 1
chooses 1
claims 1
classmates 1
clods 3
code 1
college 1
company 1
completion 1
confide 1
considered 1
corporation 2
course 1
creatures 1
cryptic 1
dead 1
death 1
decide 3
decided 1
decides 2
determine 1
didnt 1
died 1
different 1
digital 3
dine 1
diner 1
disembodied 1
distance 1
divided 1
do 2
does 2
domain 2
domains 1
done 1
dont 1
dropping 1
due 1
each 2
edit 1
ellison 1
ends 1
enjoy 1
entire 2
escape 1
europe 1
even 1
event 1
example 1
explain 1
faced 1
facility 1
fan 1
fantasia 3
fatally 1
favorite 1
few 1
fight 1
finds 4
first 1
five 2
flashing 1
follow 1
food 1
for 6
four 1
freezes 1
friends 3
from 1
fulfill 1
gabriel 1
gathered 1
gedaechtnis 3
get 1
gina 1
girl 1
girls 1
given 1
go 2
goes 2
going 1
governor 1
graduated 1
graduates 1
graveyards 1
guarding 1
had 2
hal 5
halfway 1
halloween 19
happened 2
has 4
have 3
he 30
head 1
headmaster 1
headquarters 1
hed 1
help 3
her 3
him 7
himself 2
his 15
how 1
however 2
hq 1
human 1
identifies 1
idlewild 3
if 1
illusions 1
imply 1
impossibly 1
in 19
information 1
initially 1
instead 1
investigation 1
is 17
isaac 2
ivr 8
jammer 1
jasmine 2
just 1
keeps 1
kill 2
killed 2
knew 2
know 1
known 2
last 4
laz 4
lazarus 5
left 1
legendary 1
life 3
lights 1
like 3
liking 1
live 1
located 1
location 1
locations 1
log 1
long 1
loved 3
maeshtro 1
maestro 3
mahal 1
male 1
man 2
may 2
meal 1
meantime 1
medical 2
meeting 1
memories 1
memory 1
merc 3
mercutio 8
messages 1
michigan 3
modeled 1
motion 1
move 1
murder 1
murderer 1
nailed 1
named 1
nanny 3
naomi 1
need 1
next 1
nice 1
night 1
nightgaunts 1
no 2
not 5
of 22
on 1
one 2
only 2
opposite 1
or 2
order 2
other 1
others 1
out 7
over 1
own 1
pages 1
pan 1
pandora 1
parents 3
party 2
period 2
periods 2
personal 1
pets 2
plan 1
plans 1
pod 1
pods 1
position 1
possibility 1
posts 1
prepared 1
prestigious 1
program 1
progresses 1
real 4
reality 2
realization 1
realizes 2
realworld 1
rebuild 1
receive 1
refuses 1
regains 1
rejects 1
release 1
remaining 1
report 1
request 1
respect 1
robbing 1
rule 1
rules 2
scene 1
scholarship 1
school 9
schoolhouse 1
sent 2
she 3
short 1
shot 1
should 1
siblings 1
simone 7
since 1
small 1
so 3
some 2
someone 1
something 1
space 1
speak 1
spend 1
spent 2
standing 1
steak 1
steal 1
still 1
strange 1
student 4
students 4
study 1
suffocating 1
supper 1
sure 1
survive 1
suspicions 1
system 2
taj 1
talking 1
teacher 1
teddy 1
telling 1
ten 2
terrifying 1
that 16
the 55
their 6
them 2
there 1
they 12
things 1
this 1
three 1
through 2
throws 1
time 4
to 38
together 1
tough 1
travel 1
triggered 1
trying 1
turns 1
twain 1
two 1
ty 1
tyler 2
unable 1
up 5
upon 1
using 1
vashti 2
virtual 5
visit 2
voices 1
wake 3
wakes 1
waking 1
wanted 1
was 6
were 1
what 5
when 1
where 5
which 1
while 2
who 5
will 2
with 10
won 1
wooden 1
woods 1
world 6
would 1
young 2
