11788104
/m/02rsc47
/m/02rsc47
Katherine Mansfield

{"/m/02xlf": "Fiction"}
a 14
about 4
after 3
alice 1
all 1
aloe 2
alone 1
an 1
and 21
another 1
antthen 1
are 4
argued 1
arrive 2
at 3
aunt 8
back 3
be 2
because 1
bed 3
behind 1
being 2
berries 1
beryl 9
better 1
birds 1
blooming 1
boasting 1
book 1
bored 2
bosses 1
brags 1
buggy 1
buying 1
by 4
calls 1
can 1
cheap 1
cherries 1
children 5
chops 1
come 1
comes 4
countryside 1
cousins 1
cribbage 1
day 1
deal 1
delighted 1
demands 1
despicably 1
dinner 1
dishes 1
doesnt 1
doing 1
draws 1
dreams 3
dreamt 1
duck 3
eat 1
enough 1
episode 1
evening 1
fact 1
fairfield 1
false 1
feels 1
few 1
for 4
from 3
game 1
garden 3
get 1
gets 2
girl 1
girls 1
given 1
goes 3
good 1
grandmother 4
greeted 1
grownups 1
happy 1
has 1
have 1
having 1
he 2
head 2
headache 1
her 9
herself 2
him 1
his 2
house 3
how 3
husband 1
i 1
ii 1
iii 1
in 13
independent 1
instants 1
into 1
is 9
isabel 1
island 1
isnt 1
it 1
items 1
iv 1
ix 1
jam 1
josephs 1
kezia 6
killed 1
kitchen 2
last 1
leave 1
leaving 1
left 2
less 1
letter 1
lighthouse 1
like 1
linda 7
lived 1
living 1
loathes 1
look 4
looks 1
lottie 4
make 1
mingle 1
mother 1
mrs 2
nan 1
neighbour 1
neighbours 1
new 1
next 1
of 7
off 1
old 1
on 5
once 1
other 1
out 2
over 1
oysters 1
paintings 1
pat 3
physique 1
pick 2
pineapple 1
pip 1
play 2
prayer 1
put 2
quarantine 1
rags 1
reading 1
red 1
refers 1
remaining 1
remembers 1
removal 2
restless 1
ridicules 1
road 1
room 1
round 1
same 1
samuel 1
saying 1
says 2
scared 1
see 1
seems 1
sent 1
servant 1
set 1
she 11
shocked 1
show 1
slightly 1
so 1
some 2
something 1
stanley 6
still 1
storeman 2
story 1
stuff 2
stung 1
suggesting 1
sunny 1
take 1
tasmania 1
tea 3
that 4
the 38
their 1
them 2
then 5
there 2
they 6
thinking 1
thinks 3
thus 1
to 22
told 1
too 1
tree 1
tucks 1
turn 2
unhappy 1
until 3
up 5
v 1
van 1
vegetable 1
vi 1
vii 1
viii 1
wakes 1
walks 2
was 3
weather 1
wellington 1
when 2
where 1
while 1
wife 1
will 1
willing 1
wins 1
with 7
wonders 1
work 2
would 1
writes 1
x 1
xi 1
xii 1
