1889324
/m/063_67
/m/063_67
Piers Anthony
1979-07
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
12 1
800 1
a 5
accompanied 1
an 2
ancient 1
and 7
back 2
barbarian 1
beat 1
been 1
before 1
bink 1
body 1
by 1
castle 1
cure 1
current 1
curse 1
demise 1
dor 4
drawn 1
ends 1
every 1
find 2
for 1
ghost 1
giant 1
governess 1
had 1
he 2
help 1
her 1
him 3
his 3
in 3
inhabits 1
inherit 1
into 2
invading 2
is 3
jumper 1
king 1
kingdom 1
life 1
line 1
lover 2
magic 2
magician 1
master 2
meets 1
millie 2
millies 1
mission 1
mundane 1
mundanes 1
must 1
mysterious 1
named 1
need 1
next 1
normally 1
not 1
of 5
old 1
on 1
other 1
out 1
own 1
past 3
possesses 1
presentturns 1
providing 1
resource 1
restore 1
roogna 1
rule 1
sends 1
short 1
skills 1
son 1
spider 1
tapestry 3
teach 1
the 14
throne 1
through 1
time 1
to 8
travels 1
trent 1
unfortunate 1
up 1
use 1
via 1
wave 1
way 1
while 1
who 1
will 1
with 1
xanth 2
year 1
years 1
zombie 4
