3949965
/m/0b873f
/m/0b873f
Dean Koontz
2003
a 1
actor 1
aelfric 1
after 1
aka 1
an 1
and 2
as 2
back 1
black 2
boxes 3
came 1
channing 1
chasing 1
contents 1
dead 1
down 2
duncan 1
dunny 2
ethan 4
excop 1
face 1
famous 1
figure 1
finally 1
follows 1
for 1
friend 1
ghost 2
gruesome 1
has 1
he 1
head 1
his 1
hollywood 1
in 3
is 2
kidnapping 1
leads 1
life 1
main 1
manheim 2
mean 1
messages 1
morgue 1
most 1
not 1
now 2
of 6
out 1
plot 2
races 1
received 1
security 1
sender 1
several 1
six 1
son 1
stop 1
story 1
technically 1
that 1
the 12
to 4
track 1
tracking 1
truman 1
trying 1
uncovers 1
were 1
what 1
whistler 1
who 1
works 1
