9876557
/m/02pvmw8
/m/02pvmw8
A. Merritt
1920
a 9
acquaintances 1
ago 1
alexander 1
an 1
and 9
animate 2
are 3
armaments 1
as 3
assisted 1
auroralike 1
become 1
being 1
besieged 1
between 1
blast 1
botanical 1
brother 2
but 1
by 7
call 1
capable 1
city 3
closed 1
colossal 1
comatose 1
commands 2
cones 1
conquered 1
controls 1
converted 1
cubes 1
darius 1
death 1
deliberate 1
destruction 1
dick 1
dr 1
drake 2
effect 1
emperor 2
entire 1
escape 1
expedition 1
falls 1
find 1
forming 1
forms 1
friends 1
geometric 1
get 1
globes 1
go 1
goodwin 3
governed 1
group 1
he 1
her 3
hidden 1
himalayas 1
his 1
iii 1
in 3
investigate 1
is 4
it 1
joining 1
keeper 1
know 1
led 2
lightning 1
like 1
little 1
living 1
macedon 1
magnificent 1
martin 3
meet 1
meets 1
metal 7
metallic 1
monster 2
more 1
name 1
norhala 3
occupied 2
of 9
old 2
on 1
one 2
other 1
out 1
persians 2
power 1
predicament 1
putting 1
ray 1
rays 1
retaliates 1
ruth 2
saved 1
science 1
scientists 1
seemingly 1
sentient 1
shapes 1
she 1
shooting 1
sister 2
slowly 1
son 1
state 1
strange 3
tetrahedrons 1
than 1
the 13
their 1
them 1
there 1
they 7
things 2
this 1
thousand 1
to 7
together 1
tries 1
two 2
valley 1
ventnor 1
way 1
what 2
when 1
who 1
wielding 1
with 1
witnesses 1
woman 1
years 1
