9388876
/m/0286xgw
/m/0286xgw
Jacqueline Wilson

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 4
accepted 1
accidentally 1
acting 1
after 1
age 1
and 15
andrea 1
andy 9
are 3
as 7
at 1
away 1
awkward 1
baby 2
back 3
becomes 1
befriend 1
befriended 1
begins 1
best 1
bill 2
book 2
but 3
by 1
called 1
cant 1
carrie 3
children 1
cottage 1
could 1
crystal 1
dad 2
daughter 1
day 1
days 1
dislike 1
dismay 1
distraught 1
divorced 1
doesnt 1
down 1
draws 1
drops 1
end 1
especially 1
families 1
father 2
find 1
finds 1
five 1
focus 1
friend 1
friendly 1
friends 1
from 1
games 1
garden 2
get 3
getting 2
gifts 1
girl 1
giving 1
go 2
grandparentsshe 1
growing 1
has 2
have 2
her 17
herself 1
his 2
honorary 1
house 1
imaginary 1
in 3
including 1
insists 1
into 1
is 3
isolated 1
it 1
katiea 1
kids 1
kind 1
known 1
little 1
loses 2
makes 1
meet 1
middle 1
mind 1
more 2
mother 1
move 1
mr 1
mrs 1
much 2
mulberries 1
mulberry 1
must 1
new 3
night 1
not 1
of 3
often 1
older 1
one 1
other 1
out 1
own 1
owners 1
parents 4
peters 1
playing 1
poorer 1
pregnant 1
previous 1
rabbit 1
radish 4
recently 1
remarries 2
results 1
retrieve 1
runs 1
school 2
secret 1
she 8
soon 2
spotted 1
stepsiblings 1
still 1
story 1
strong 1
support 1
sylvanian 1
takes 1
tall 1
tenyearold 1
that 3
the 8
their 1
there 1
they 2
three 1
throughout 1
to 5
together 2
touch 1
tree 1
twins 1
very 1
well 1
who 3
whose 1
wishes 2
with 4
would 1
zen 1
zoe 1
