10310839
/m/02q83v1
/m/02q83v1
Eric Chevillard
2006
{"/m/05hgj": "Novel"}
18061888 1
a 3
about 1
also 1
and 1
annihilate 1
as 1
author 2
be 1
book 2
burgeoning 1
can 1
characteristics 1
chevillard 2
classicism 1
considered 2
contemporary 1
critic 2
criticism 1
dsir 1
fact 1
form 1
french 2
had 1
himself 1
his 1
in 1
infuriates 1
is 2
like 1
literary 1
literature 1
loathed 1
metacriticism 1
modern 1
much 1
narrator 2
nisard 3
of 5
one 1
only 1
seems 1
so 2
struggle 1
that 3
the 8
times 1
to 1
trends 1
upon 1
value 1
very 1
who 1
