2800015
/m/083gnr
/m/083gnr
Jennifer Rowe

{"/m/01hmnh": "Fantasy"}
a 5
about 2
advice 1
along 1
already 1
always 1
ambushed 1
an 1
and 23
annual 1
are 7
as 4
at 1
attacks 1
balct 1
be 4
beasts 1
because 1
been 2
behind 2
beloved 1
berry 1
both 1
breath 1
brondon 2
bukshah 7
by 3
can 1
cannot 1
care 2
cause 1
chilling 1
coast 2
cold 3
colder 1
come 1
companions 1
completing 1
continues 1
control 1
creeper 1
creepers 3
dead 1
death 1
decision 1
denied 1
departs 1
destroyed 2
destruction 1
discovered 2
dream 2
due 1
eat 1
elderly 1
empty 1
end 1
enemy 1
escaped 1
evacuate 1
extended 1
facts 1
far 1
fearing 1
fenced 1
few 1
fiery 1
fight 2
finish 1
fire 1
flight 2
followed 1
following 1
follows 1
food 1
for 6
four 2
free 1
from 4
getting 1
go 2
gold 3
group 2
grow 1
growing 1
habitual 1
happened 1
has 1
have 1
he 3
heart 1
here 1
his 2
home 3
hunger 2
ice 5
if 1
in 6
into 1
introductory 1
invaded 1
invasion 1
is 3
it 1
joins 1
keep 1
keepers 1
kept 1
knew 1
know 1
land 3
landslide 2
lann 1
last 1
lead 2
leader 1
learn 3
learns 1
leaving 2
life 1
long 1
longer 2
loosened 1
made 1
make 2
man 1
maris 1
message 1
more 2
morris 1
mountain 5
mounting 1
much 2
multiply 1
must 3
nests 1
new 2
newcomers 1
no 1
norris 2
not 1
numbers 1
of 16
off 1
on 3
once 1
one 5
only 1
other 2
others 1
out 1
past 1
people 7
pilgrimage 1
plants 1
posing 1
possible 1
preventing 2
problems 1
quest 1
realm 1
received 1
returned 2
rhyme 1
rin 2
rise 1
roam 1
rowan 7
sacrifice 1
said 1
satisfied 1
seals 1
sent 1
set 1
sets 1
sharron 3
sheba 1
should 1
sight 1
silks 2
slaves 1
soil 1
some 1
souls 1
spreading 1
spring 1
still 1
storehouses 1
taken 1
takes 1
terrifying 1
than 1
that 5
the 79
their 5
them 1
they 9
this 3
three 1
through 1
thus 1
time 1
to 21
trapped 1
travelers 2
trek 2
truly 1
truth 3
twixt 1
two 2
under 1
unites 1
up 1
uptodate 1
valley 8
village 1
villagers 1
warn 1
was 4
way 2
we 1
weep 2
were 4
what 2
when 5
where 3
who 1
will 4
winter 3
winters 1
wiser 1
with 3
word 1
worried 1
year 1
years 1
yes 1
zebak 2
zebakcaptured 1
zeel 2
