1270777
/m/04nyky
/m/04nyky
Vernor Vinge
1984
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
2048 1
51 1
a 10
actually 1
advanced 1
advantage 1
after 2
against 1
all 1
an 2
anachronisms 1
and 15
anything 1
are 4
around 1
at 2
authority 6
authoritymandated 1
available 1
bearer 1
becomes 1
beyond 1
bobble 3
bobbler 3
bobbles 1
bobbling 1
brief 1
bureaucracy 1
but 3
by 3
calling 1
certain 1
cities 1
clandestinely 1
contain 1
contents 1
conventional 1
corrupts 1
creates 1
defense 1
develop 2
develops 1
device 1
discovered 1
does 1
effect 1
effort 1
electrical 1
end 1
enforce 1
entire 1
eventual 1
everyone 1
far 1
fear 1
field 1
fields 2
for 2
force 2
from 1
generating 1
generators 1
genius 1
government 1
governments 2
group 1
has 3
he 1
help 1
horseback 1
huge 1
ignorance 1
illegal 1
impenetrable 1
in 4
inside 1
instance 1
inventors 1
is 4
it 2
its 1
killing 1
knowledge 1
laboratory 2
lack 1
later 1
lawrence 1
lead 1
limited 1
livermore 1
make 1
mathematical 1
monopoly 1
more 1
much 1
national 1
neutralize 1
no 1
not 3
nuclear 1
occasionally 1
of 12
on 1
one 1
only 2
open 1
or 2
original 1
other 1
part 1
peace 5
peacers 1
people 1
perfectly 2
period 1
periods 1
permitted 1
persistent 1
place 1
power 4
preserved 1
presumably 1
primary 1
process 1
progress 1
rebellion 2
rebels 1
require 1
resistance 1
rest 1
retain 1
riding 1
running 1
scientists 1
separating 1
shield 1
short 1
so 1
sources 1
spherical 1
spontaneously 1
stasis 1
still 1
stopped 1
story 1
suffocation 1
sunlight 1
takes 1
technological 1
technology 1
term 1
that 1
the 29
their 4
them 2
themselves 2
they 5
thief 1
this 3
through 1
thus 1
time 3
tinkers 3
to 9
triggering 1
true 1
try 1
ultimate 1
use 2
used 1
version 1
war 1
warfare 1
weak 1
weapon 3
weapons 1
what 1
where 1
which 2
while 1
with 1
within 1
world 2
worldwide 1
years 1
young 1
