4547933
/m/0c899j
/m/0c899j
Ken MacLeod

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
20th 1
a 11
ai 1
ais 1
america 1
an 2
and 7
ao 1
archeologist 1
are 2
army 1
artifact 2
artifacts 1
as 4
assimilated 1
at 1
become 1
behind 1
between 1
beyond 2
but 2
by 1
carlyle 1
century 1
character 1
colony 2
combat 1
communist 1
comprehension 1
computer 1
controls 1
cosmic 1
crashed 1
dead 1
deal 1
deep 1
democratic 1
demokratische 1
departed 1
devoured 1
directing 1
discover 1
dk 1
does 1
dormant 1
each 1
earth 2
enlightenment 2
entrepreneursthugs 1
escaped 1
european 1
eurydice 1
eurydiceans 1
evolution 1
examination 1
expansion 1
explosive 1
family 1
far 1
find 1
focal 1
followed 1
for 1
ftl 1
groups 1
hard 2
has 1
having 1
human 1
humanity 2
humans 1
in 5
into 1
is 4
it 1
its 1
ke 1
knights 2
knowledge 1
known 1
kommunistbund 1
late 1
leading 1
leaving 1
left 1
lives 1
living 1
lost 1
lucinda 2
machines 1
main 2
member 1
most 1
motherlode 1
nations 1
not 1
now 1
number 1
of 17
offline 1
offworld 1
on 1
only 2
or 1
originally 1
other 2
overcame 1
partially 1
parts 1
persons 1
point 1
populated 1
post 1
posthuman 2
posthumanity 1
programming 1
progressed 1
rapture 2
relics 1
response 1
resulted 1
salvage 1
scarcity 1
scottish 1
sects 1
selfaware 1
sentient 1
she 1
ship 1
side 1
skein 2
society 1
sporadic 1
start 1
states 1
string 1
such 1
surprised 1
survivors 1
system 1
systems 1
team 1
technology 1
that 4
the 22
themselves 1
then 2
things 1
those 1
thought 1
three 1
to 3
travel 1
traversable 1
tries 1
unexplored 1
union 1
united 1
unknown 1
us 1
varyingly 1
war 2
weapons 2
whatever 1
while 1
with 3
world 1
worlds 1
wormholes 1
