5069054
/m/0d19b6
/m/0d19b6
Ernest Hemingway
1970
a 9
aboard 2
act 7
adventurous 1
after 2
along 1
also 1
although 1
ambiguous 1
american 1
an 5
and 9
archipelago 1
are 1
arrive 1
as 2
at 1
auxiliary 1
bahamas 1
battle 1
becomes 1
begins 1
bell 1
bimini 2
boat 2
by 1
cayo 1
channels 1
chapter 1
character 3
chase 1
children 2
classic 1
coast 1
conflict 1
converted 1
cover 1
cry 1
cuba 3
cynical 1
davis 2
days 1
death 3
del 1
destruction 1
distant 1
doing 1
drinking 1
during 2
dynamic 1
earlier 1
ending 1
ends 2
entire 1
escape 1
far 1
figure 1
final 1
finding 1
finds 2
first 1
fleeing 1
follows 1
for 4
friends 1
from 1
german 1
germans 2
guillermo 1
gun 1
has 1
havana 1
he 1
heavily 2
hemingway 1
hemingways 1
his 6
hudson 11
hudsons 3
image 1
in 6
influences 1
intent 1
internal 1
interrupted 1
introduced 2
introduces 1
introduction 1
introverted 1
irregulars 1
is 6
island 3
jardines 1
just 1
last 1
leave 1
lifestyle 1
male 1
massacred 1
military 1
more 3
mortally 1
most 1
naval 1
news 2
northern 1
novel 1
of 17
older 1
oldest 2
on 4
one 2
outgoing 1
painter 1
patrol 1
place 1
presumably 1
pursue 1
questioning 1
received 1
receiving 1
reconnaissance 1
renowned 1
rey 1
rings 1
roger 1
routine 1
sea 1
second 2
seems 1
setting 1
shootout 1
similar 1
slightly 1
sons 2
soon 2
spends 1
stoic 1
stops 1
strict 1
struggling 1
summer 1
sunken 1
surrounding 1
survivors 1
takes 1
team 1
the 28
their 2
thereafter 1
they 3
this 3
thomas 1
though 1
three 1
tidal 1
to 7
tolls 1
track 1
tranquility 1
two 1
uboat 1
unmentioned 1
us 2
usual 1
village 1
war 2
we 1
when 1
where 1
who 3
whom 1
with 5
work 2
world 1
wounded 1
writer 1
yacht 1
youngest 1
