20001642
/m/04y9ml7
/m/04y9ml7
Edgar Rice Burroughs
1955
{"/m/05hgj": "Novel"}
a 11
about 1
absent 1
africa 3
afterwards 1
against 1
all 1
also 2
ambush 1
america 3
american 1
an 2
and 31
any 1
appeal 1
appears 2
are 4
armed 1
arrives 3
as 2
astray 1
at 2
attempts 1
await 1
back 3
be 3
beast 1
beasts 1
been 3
before 1
begins 1
belgian 2
ben 5
billed 1
both 1
but 4
buys 1
by 9
cannot 1
captive 1
captured 2
ceremony 1
certificate 2
certificates 2
circus 2
claim 1
coast 1
confederates 1
congo 1
contain 1
cupboard 1
daughter 2
death 1
deceased 1
decide 1
declare 1
delayed 1
deliver 1
delivered 2
desired 1
detects 1
dick 2
discovering 1
discovers 1
disinherited 1
disputes 1
documentation 1
drives 1
each 1
effort 1
elder 3
encountering 1
entrusted 1
envelope 5
escaped 1
escapes 1
estate 2
evidently 1
father 4
finally 1
finds 2
flee 1
fleeing 1
follows 2
for 3
forces 1
freed 1
frees 1
from 5
give 2
gone 1
gootch 2
gordon 15
gordons 2
grandfathers 1
gun 1
had 1
half 1
happens 1
has 1
have 2
having 2
he 9
hears 1
her 8
him 7
his 6
home 3
hoped 1
house 2
hunters 2
hyena 1
illegitimate 1
imprisoned 1
in 10
inherit 1
instead 2
intending 1
intention 2
intercepts 1
is 9
it 1
itinerant 1
its 1
jefferson 3
jr 1
just 1
kelley 4
kill 4
killed 1
killers 1
killing 1
kills 2
king 1
later 1
latter 2
letter 1
lion 6
lioness 1
live 1
located 1
long 1
lost 1
love 1
maneating 1
marriage 3
marries 1
marry 1
mary 1
mate 2
meanwhile 3
missing 1
mission 1
missionaries 1
morton 1
mortons 1
moved 1
murder 1
mysterious 1
native 2
natives 1
nearby 1
neglecting 1
nephew 1
new 1
nineteen 1
not 1
now 1
obtain 1
of 12
off 1
old 1
omission 1
on 2
only 1
opened 1
other 1
others 1
out 1
overcomes 1
overtaking 1
paper 2
party 1
pass 1
pit 1
plan 1
pretending 1
proof 1
proposing 1
protects 1
prove 1
proves 1
provide 1
pursues 1
pursuing 1
rape 1
reaches 2
realizing 1
rebuffed 1
recognizes 1
rescuer 1
return 3
returned 1
returning 1
returns 1
right 1
robert 2
room 1
ruins 1
ruth 5
sail 1
sangamon 1
saved 1
scents 1
scott 15
scotts 1
scream 1
sealed 1
secreted 1
seek 1
seeking 2
seizing 1
separate 1
sets 1
share 1
she 3
sheet 1
shoots 1
sight 1
single 1
sold 1
somehow 1
son 1
sr 2
stalked 1
still 1
stock 2
stocks 2
struggles 1
take 1
taken 1
taking 1
taylor 10
that 2
the 55
their 3
then 2
there 4
they 2
this 1
thrown 1
to 33
together 2
train 2
trap 1
trek 1
turns 2
two 1
unable 1
unaware 1
up 2
village 3
villains 4
virginia 10
visits 1
wakandas 1
warns 1
was 2
where 1
whereupon 1
which 3
while 1
who 4
whose 1
will 2
with 9
within 1
witnessed 1
wounds 1
wreck 2
writes 1
writing 1
years 1
zoo 1
