12076330
/m/02vp0sn
/m/02vp0sn
Drew Karpyshyn

10yearsold 1
a 29
about 1
accepts 2
accuse 1
afraid 1
after 6
again 1
alive 1
alliances 1
allowing 1
almost 3
ambria 1
an 4
and 27
any 1
appointed 1
apprentice 2
archives 1
are 5
armor 1
around 1
arriving 1
as 3
asks 1
assassinate 1
assassins 2
at 2
attach 1
attack 4
attacked 1
attacks 1
attempts 2
attractive 1
back 4
bane 17
base 1
battle 1
be 2
beast 2
beat 1
because 5
been 1
before 1
belia 2
blinding 1
body 2
bodyguard 1
bomb 2
boring 1
boy 1
brotherly 1
but 7
by 6
caleb 3
called 1
camp 4
can 1
cannot 1
casts 1
catacombs 1
caused 2
causing 2
cellar 1
challenge 1
chancellor 2
changing 1
charting 1
clan 1
collection 1
come 2
construct 2
constructed 1
construction 1
contain 1
controls 1
course 2
cousin 2
crew 1
cure 1
cutting 1
dark 1
darovit 6
darth 5
darzu 2
day 1
days 1
deal 1
decide 1
decides 1
defeats 1
degrade 2
desire 1
destroyed 1
destroys 1
die 1
disguise 1
does 1
doomed 2
dramatic 1
drexl 1
duel 1
dxun 2
effects 1
eight 1
enters 1
existence 1
expected 1
explains 1
fail 2
failed 1
fails 1
failure 1
failures 1
farfalla 1
fearsome 1
find 7
finds 5
five 2
flair 1
fled 2
flee 1
flies 2
flying 1
follows 1
for 2
force 3
former 4
found 2
four 2
fourth 1
freedon 1
from 1
frying 1
furthering 1
fury 1
girl 1
give 1
go 2
goes 1
group 4
had 1
hand 1
handsome 1
happen 1
happened 1
has 3
have 1
having 1
he 20
head 1
heal 2
healed 1
healer 1
healing 1
her 8
herself 1
hetton 5
hide 1
hiding 1
him 16
himself 1
his 9
holocron 4
hoping 1
if 2
impenetrable 1
impressed 1
in 6
indigenous 1
informs 1
inhabited 1
inside 2
instead 1
instructs 2
into 4
is 11
it 3
jedi 11
job 1
johun 5
journey 2
kel 3
kill 2
killing 1
kills 6
knight 1
knowing 1
knows 1
large 1
last 1
later 1
learn 1
learns 1
leaves 2
lesson 1
let 1
lies 1
life 1
lightning 3
location 2
lord 3
love 1
mad 1
main 2
majority 1
make 1
makes 4
manuscripts 2
master 3
matter 1
meanwhile 3
meet 2
meets 1
members 4
mentally 1
mercenaries 3
mind 2
miss 1
moon 1
much 1
must 1
nadd 1
narrowly 1
native 1
no 1
not 1
now 3
of 29
off 1
old 1
on 6
once 1
onderon 4
one 4
only 1
onto 1
orb 2
orbaliks 1
orbalisks 8
other 1
othone 3
own 1
padawan 1
plan 3
planet 5
plants 1
plots 1
power 1
powerful 1
protector 1
provide 1
prowess 1
public 1
rebel 1
reflected 1
refuses 1
release 1
releases 1
remaining 1
remnants 1
remove 1
removed 1
repeated 1
rescuing 1
rest 1
riders 1
ruusan 3
saved 2
saying 1
scroll 1
secret 1
secrets 1
see 2
seeds 1
seeing 1
senses 1
she 18
ship 3
side 1
sith 10
slain 2
slays 1
soldiers 2
some 1
spares 1
stand 1
starts 1
stay 1
still 3
strikingly 1
subtle 1
superhuman 1
supposedly 1
survive 1
surviving 1
survivors 1
takes 2
telling 1
tells 2
ten 1
test 1
that 17
the 70
their 2
them 4
then 6
there 2
thereby 2
they 3
think 1
thinks 1
thought 3
three 1
to 44
together 3
tomb 4
tomcat 2
too 1
touching 1
toxin 1
travel 1
travels 2
tremendous 1
trial 1
tricking 1
tricks 2
trying 1
twilek 2
two 4
unable 2
until 1
upon 2
using 1
valenthyne 1
valorum 2
valuable 1
very 1
was 4
way 3
well 1
what 2
where 1
whether 1
which 1
who 6
will 5
with 3
woman 1
wonder 1
years 1
zannah 22
