1369584
/m/04x9zm
/m/04x9zm
Tim Dorsey
2001-07
a 8
active 1
against 1
and 3
apathetic 1
appears 1
arena 1
as 1
assumes 1
automatically 1
battle 1
becomes 1
bureaucratic 1
but 2
by 1
can 1
candidate 1
career 1
carefully 1
change 1
character 2
compared 1
conrad 1
corrupt 1
crash 1
crush 1
democratic 1
determined 1
dies 1
difference 1
dimwitted 1
dorsey 1
ducking 1
during 2
duty 1
elected 1
enters 1
even 1
expected 1
experiences 1
exploit 1
faces 1
father 1
first 1
florida 2
from 1
fundamental 1
gomer 1
governor 2
groups 1
he 4
him 1
his 7
house 1
however 1
in 8
interest 1
into 1
is 2
job 1
kid 1
kosovo 1
lieutenant 1
main 1
make 1
managed 1
marlon 4
mercilessly 1
military 1
novels 1
of 2
office 1
orange 1
other 1
outlook 1
part 1
plane 1
plush 1
pockets 1
political 2
prevents 1
recruited 1
reelection 1
relatively 1
responsibility 1
returns 1
rich 1
riding 1
serge 1
series 1
small 1
speaker 1
special 1
spoiled 1
state 2
storms 1
suddenly 1
tangle 1
tatum 1
tenure 1
the 11
to 3
views 1
war 1
wealthy 1
when 1
