1096466
/m/045pbq
/m/045pbq
Timothy Zahn

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
112 1
51 1
a 23
aboard 2
about 2
accordingly 1
ackbar 3
across 1
activate 1
adjusts 1
admiral 3
after 4
afterward 1
again 1
agrees 1
aid 1
alerts 2
alien 3
aliens 1
allies 1
ambush 1
an 5
and 37
another 2
antilles 1
anything 1
approach 1
approaches 1
archway 1
are 6
area 1
around 1
arrested 1
arrive 1
as 8
at 3
attack 3
attacked 2
attacks 2
attempt 3
attention 1
available 1
aves 1
awake 1
battle 3
be 1
becomes 1
been 1
beginning 1
begun 1
behind 1
best 1
bimmisaari 1
bimmisarri 1
blaster 1
blow 1
board 1
borsk 1
bothan 1
bpfaash 1
bring 1
brought 1
bulk 1
burst 1
but 5
by 7
c3po 2
called 1
calls 1
calrissian 2
captain 1
capture 2
captures 1
capturing 1
cargo 2
cbaoth 4
chances 1
charges 1
chewbacca 4
chief 1
chimaera 4
choice 1
cloaking 1
closer 1
come 1
coming 1
commander 1
confirms 1
convinces 1
coruscant 4
council 2
creature 2
creatures 2
cylinder 1
dagobah 1
decide 2
decides 4
decision 1
decoyed 1
defeated 1
defends 1
departure 1
depression 2
destroy 1
destroyer 1
destroyers 1
determines 1
disables 1
disbelief 1
discovers 3
discuss 2
disguised 1
dismisses 1
do 1
does 1
door 1
dravis 1
earlier 1
easily 1
edge 1
either 1
elude 1
emperor 1
empire 4
encounter 1
escape 1
escapes 1
escort 1
exactly 1
exchange 1
failed 2
fails 1
falcon 3
far 1
farewell 1
feels 1
fellow 1
feylya 3
fight 1
finally 1
first 1
fleet 2
focuses 1
for 6
force 2
forced 1
forces 1
forest 1
fray 1
freighter 3
from 5
futile 1
gathering 1
generate 1
gesture 1
get 3
gilad 1
goes 1
grab 1
grand 1
group 1
guardian 1
guesses 1
hails 1
han 17
has 6
have 1
he 18
help 1
her 1
herself 1
him 8
his 12
hitandrun 1
holding 2
homeworld 1
hoping 1
hostage 1
immediately 2
imperial 3
in 16
information 1
insists 1
intentions 1
intercepts 1
interprets 1
into 4
intrigued 1
investigation 1
is 18
it 5
its 1
jade 2
join 1
joruus 1
just 1
karrde 14
kashyyyk 2
keep 1
kenobi 1
kidnapping 1
kill 1
kills 1
know 1
knows 2
lando 12
launches 1
leaders 1
leave 2
legal 1
leia 12
letting 1
lightsaber 3
little 1
location 1
logical 1
long 1
longer 1
low 1
luke 22
make 1
makes 1
manages 1
many 1
mara 8
market 1
mean 1
meantime 1
meanwhile 1
meet 2
meeting 1
member 1
merely 1
message 4
metal 1
middle 1
might 1
millennium 1
miners 1
mission 3
mole 1
months 1
more 1
move 1
myrkr 2
native 1
nearly 1
needs 1
negative 1
negotiations 1
neither 1
new 9
night 2
nkllon 2
no 2
noghri 4
nor 1
not 4
notice 3
notices 3
obiwan 1
obroaskai 2
obtain 2
of 13
off 2
offensive 1
offer 2
offers 1
on 20
once 1
ones 1
only 1
opener 1
operations 1
option 1
or 1
organa 1
other 1
out 2
pallaeon 1
part 1
passing 1
pay 1
pellaeon 4
pirate 1
plan 1
planet 1
plans 2
possibly 1
predatory 2
pregnant 1
prevents 1
prisoner 1
profile 1
propel 1
prospective 1
protagonists 1
push 1
r2 2
r2d2 1
radius 1
raid 1
ralrracheen 1
rather 1
realizes 1
reasoning 1
receives 1
recording 1
reportedly 1
republic 8
rescue 2
retaliatory 1
return 1
rogue 1
room 3
say 1
says 1
scare 1
search 1
seek 1
sending 2
sends 2
senses 1
sent 1
series 1
services 1
set 1
several 1
she 2
sheds 1
shield 1
ship 1
ships 4
shipyards 2
short 1
shortage 1
signals 1
since 1
skywalker 1
sleep 1
sluis 3
smuggler 4
smugglers 1
sneak 1
snoop 1
so 2
solo 3
solve 1
some 1
space 1
speak 1
squadron 1
star 2
start 1
steal 1
still 2
stolen 1
stop 1
stops 1
storage 3
storehouse 2
stormtroopers 1
stranded 1
strike 1
students 1
subordinate 1
successful 1
successfully 1
superior 1
supposed 1
suspend 1
suspicious 1
swiftly 1
system 1
tactic 1
takes 1
talk 1
talon 3
tampered 1
task 1
tatooine 1
tell 2
tells 3
territory 1
than 1
that 18
the 70
their 4
them 5
then 2
there 1
they 10
this 1
thrawn 11
threatens 1
three 1
threepio 1
through 2
to 49
toward 2
transient 1
transmit 1
travels 1
treason 1
tries 1
twins 1
two 2
undecided 1
unfold 1
unprepared 1
until 1
up 2
uses 1
using 2
van 3
visit 5
visitors 1
voice 2
wakes 2
wants 2
warship 1
warships 2
was 3
watches 1
way 2
wayland 1
wedge 1
what 2
when 5
while 2
who 1
wild 2
will 1
with 13
within 1
without 1
word 1
work 2
xwing 2
ysalamiri 3
