15316300
/m/03m4pkq
/m/03m4pkq
Ken Follett
1983
1275 1
178 1
a 5
about 1
against 1
also 1
and 3
another 1
are 2
army 1
arrested 1
as 1
at 1
bail 2
because 1
break 2
bribery 1
by 3
colleagues 1
company 1
culminating 2
dallasbased 1
day 1
december 1
decides 1
dollars 1
dominate 1
each 1
eds 2
employees 1
endangering 1
escape 1
executives 2
fails 1
figure 1
find 1
firm 1
force 1
from 1
get 1
harrowing 1
has 1
he 2
head 1
hears 1
his 2
if 1
in 4
iranian 1
it 1
jail 1
khomeini 1
lawyers 1
led 2
matter 1
meanwhile 1
million 1
more 2
necessary 1
no 1
of 6
officer 1
on 1
other 1
out 4
overland 1
pay 1
people 1
perot 1
plan 1
prison 1
recruits 1
rescue 1
retired 1
revolution 1
riots 1
ross 1
set 1
shah 1
states 1
streets 1
suspicion 1
team 2
tehran 2
the 9
their 2
them 1
to 8
transfer 1
trying 1
turkey 1
two 2
united 1
violence 1
volunteers 1
was 1
way 2
well 1
wellrehearsed 1
what 1
when 1
while 1
working 1
