3116503
/m/08sgys
/m/08sgys
John Updike
1971
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
16 1
a 6
about 1
africanamerican 1
age 1
an 1
and 9
angstrom 1
another 1
approaching 1
are 3
at 2
basketball 1
birth 1
book 1
both 1
brewer 1
by 1
chaotic 1
circa 1
city 1
confusing 1
connecticut 1
culminating 1
cynical 1
deadend 1
death 1
debates 1
downtrodden 1
drugdealing 1
emblematic 1
end 1
engages 1
enthralls 1
fictional 1
finds 2
fire 1
fleeing 1
for 1
former 1
four 1
guilt 1
harry 7
highschool 1
him 1
his 5
home 1
host 1
house 1
household 1
implications 1
in 4
into 1
its 1
jill 2
job 1
joined 1
kills 1
leaves 1
loss 1
love 1
make 1
man 1
middle 1
most 1
named 1
nation 1
of 7
pennsylvania 1
place 1
plays 1
rabbit 2
race 1
racism 1
reconciled 1
recurring 1
redux 2
relations 1
scandalous 1
sex 1
skeeter 1
son 2
star 1
state 1
suburban 1
summer 1
teenager 1
that 1
the 8
them 1
themes 1
thirteenyearold 1
to 1
updike 1
vet 1
vietnam 1
war 1
way 1
wealthy 1
when 2
white 1
who 1
wife 2
working 1
