901398
/m/03n75r
/m/03n75r
Arthur Golden
1997-09-23
{"/m/0hwxm": "Historical novel"}
a 27
able 1
about 1
acting 1
acts 1
actually 1
adopt 1
adopted 1
adopting 1
adoption 2
adopts 1
after 3
again 2
against 3
age 2
aid 1
all 1
alongside 1
already 2
also 1
always 1
amami 2
an 2
and 36
angering 1
another 1
any 2
appearance 1
arashino 1
are 2
arm 1
arranges 1
as 12
asks 2
at 6
auntie 2
away 1
back 1
baron 2
be 3
become 5
becomes 1
becoming 3
been 2
begins 2
behaviour 1
being 2
bid 1
bidden 1
bidding 1
bids 1
boarding 1
bomb 1
both 1
breaks 1
bring 1
brings 1
brink 1
business 1
but 7
by 8
can 1
career 1
case 1
caught 2
ceremony 1
chairman 9
change 1
chiyo 10
cities 1
city 2
coast 1
company 1
concludes 1
consequences 1
considering 2
convincing 1
could 4
cover 1
crab 4
danna 8
death 1
debts 1
decides 1
deflowered 1
deflowering 1
demoted 1
deputy 1
despite 4
destroy 1
destroys 1
devise 1
didnt 1
die 1
different 1
dishonoring 1
disliking 1
disrespectful 1
district 2
doesnt 1
donates 1
downtrodden 1
dr 4
dubbed 1
due 2
effect 1
elderly 1
electric 4
end 1
enraged 1
enrages 1
entering 1
entertain 2
entertaining 1
envious 1
escape 1
especially 1
evacuated 1
eventually 3
explains 1
expressing 1
fact 1
factories 1
failed 1
failure 1
falls 1
famous 1
far 1
feelings 3
feels 1
fees 1
felt 1
financial 1
finds 1
first 1
fishing 1
for 11
forced 1
forcing 1
foreseeing 1
formally 1
forward 2
friend 1
friendship 1
from 2
fullfledged 1
gaining 1
geisha 10
general 2
gion 4
girl 1
girls 1
given 1
goes 1
granny 1
grumbling 1
had 7
handkerchief 2
harbors 1
hard 1
has 2
hatsumomo 11
have 3
he 5
head 1
heiress 1
help 1
her 32
here 1
him 3
his 4
hopes 1
house 1
however 1
humiliation 1
ii 1
illegitimate 1
illmannered 1
in 24
increasing 1
independence 1
influence 1
influential 1
inheritance 1
instead 4
instrumental 1
interest 2
into 3
investing 1
is 19
islands 1
it 3
iwamura 4
japan 3
japanese 1
keeping 1
kimono 2
kind 2
kiss 2
known 2
kyoto 2
labor 1
later 2
leads 1
learns 1
leave 1
leaving 1
lest 1
liar 1
life 3
links 1
live 1
lives 1
living 1
looking 2
loses 1
losing 1
love 1
made 1
maiko 1
maintains 1
maker 1
makes 1
mameha 8
man 1
many 1
meets 1
memento 1
men 2
mentions 1
mentor 2
minister 5
mistress 1
mizuage 4
money 2
moneyobsessed 1
most 1
mother 7
much 1
name 1
named 1
namely 1
never 1
new 3
nine 1
nitta 2
nobu 11
north 1
not 2
noticing 1
obtain 1
of 21
off 2
okiya 10
old 1
older 2
on 6
once 2
only 1
opens 1
other 1
out 6
own 2
owner 1
party 1
pay 1
payment 1
personal 1
persuades 1
plan 2
plans 2
pleasure 1
point 1
popularity 1
portrayed 1
position 1
possible 1
povertystricken 1
praying 1
president 1
previously 2
primary 1
principal 1
prominent 1
promptly 1
proposals 1
prostitute 1
protg 1
pumpkin 11
purposely 1
push 1
reasons 2
rebuilding 1
reflection 1
regarding 1
regularly 1
reinvest 1
relocates 1
remains 1
reputation 1
reputed 1
require 1
resentment 1
respect 2
result 1
retires 1
return 1
revealed 1
reveals 2
rival 2
roof 1
ruin 1
run 1
safer 1
sakamoto 1
sato 1
satsu 3
saved 1
sayuri 24
sea 1
secure 1
security 1
seduce 1
seeing 1
sees 1
send 2
several 2
severs 1
she 19
showed 1
shrine 2
sister 2
slave 1
small 1
so 6
sold 2
some 1
somewhere 1
son 1
soon 2
specialist 1
sponsor 1
states 1
stayed 1
step 1
still 2
stops 1
story 1
strange 1
street 1
strong 1
take 1
taken 2
takes 2
targets 1
tarnishing 1
teahouse 2
tells 1
that 9
the 59
theater 2
they 1
thinking 1
this 5
thrown 1
time 2
to 42
together 2
toshikazu 1
tottori 1
towards 3
training 1
trip 1
true 1
turns 1
tutelage 1
two 1
ultimately 3
unable 1
under 2
undressed 1
unfortunately 1
united 1
until 1
upon 1
use 1
uses 1
village 1
visiting 1
visits 1
want 1
war 2
warned 1
warnings 1
was 4
way 2
weekend 1
were 1
when 1
which 7
while 2
who 4
whose 1
why 1
will 1
wins 1
with 9
within 1
woman 1
work 1
world 1
worsen 1
yasaka 1
years 1
york 1
yoroido 1
young 1
