391497
/m/022ryc
/m/022ryc
Robertson Davies
1970
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 3
accident 1
addressed 1
and 3
as 1
at 1
background 1
book 1
by 1
childhood 1
colborne 1
college 1
connection 1
dealing 1
dempster 2
entire 1
foolsaint 1
for 2
form 1
from 2
grew 1
guilt 1
guilty 1
hagiology 1
he 1
headmaster 1
his 3
image 1
impetus 1
in 1
is 1
issues 1
letter 1
mary 2
most 1
much 1
novel 1
of 5
on 1
passion 1
provide 1
ramsay 2
retirement 1
school 1
spends 1
story 1
struggling 1
teaching 1
that 1
the 5
this 1
to 2
told 1
with 2
written 1
