22105170
/m/0b6gqwj
/m/0b6gqwj
Kristin Cast
2009-10-23
5th 1
a 11
abandoned 1
abbey 1
about 1
accident 1
actually 1
afraid 1
after 2
aftermath 1
against 1
age 1
alerted 2
allies 1
alone 1
alongside 1
an 2
anastasia 2
and 38
anguish 1
another 1
aphrodite 8
arguing 1
arrives 1
arriving 1
as 7
assess 1
at 7
attracted 1
aya 2
back 3
bait 1
be 5
because 1
behind 1
being 2
believes 1
benedictine 1
better 1
binds 1
blood 1
book 1
brings 1
burned 1
burns 1
but 3
by 4
cage 1
call 1
calls 1
can 2
cannot 1
cant 1
care 2
catch 1
change 1
characters 1
chooses 1
claims 2
clemente 1
climbs 1
coax 1
come 1
comfort 1
completely 1
conversation 1
convulsions 1
council 4
darius 1
dead 1
declares 1
demanding 1
destiny 1
die 1
discovers 1
distrusting 1
down 2
dragon 3
dream 2
dreams 1
dumps 1
effort 1
elements 1
end 3
erebus 1
erik 3
events 1
everything 1
ex 1
eyes 1
face 1
favor 1
favored 1
feelings 1
find 4
finds 4
fledglings 1
following 1
for 2
forms 1
found 1
friends 1
from 5
further 1
gain 1
gathers 1
get 2
getting 1
gift 1
go 1
goes 2
going 2
grandmother 1
grieving 1
ground 1
grounds 1
guard 1
hand 1
hands 1
has 2
have 2
having 1
he 6
heal 1
healt 1
heath 5
help 1
helps 2
her 28
hers 1
hides 1
high 1
him 13
his 8
horrified 1
house 4
hunted 1
if 3
immediately 1
immortal 1
imprint 2
in 13
incapable 1
incarnate 1
injured 1
interests 1
into 2
intrusions 1
is 10
isle 1
it 4
jack 2
jealous 1
judgement 1
kalona 15
kids 1
kill 2
know 1
kramisha 1
lankford 2
last 2
leader 1
learn 2
learns 1
leaves 1
leaving 2
lenobia 1
links 1
loses 1
loss 1
love 4
made 1
mainly 1
mate 1
meaning 1
mind 1
minute 1
mocker 1
mood 1
named 1
neferet 4
new 1
nicole 1
night 4
notices 1
nursing 1
nyx 3
oath 1
of 21
offers 1
old 1
on 6
one 1
only 1
organizing 1
other 1
otherwise 1
otherworld 1
out 1
over 2
overly 1
pain 1
painful 1
panic 1
past 1
peer 1
plan 1
pledges 1
poems 1
point 1
possessive 1
powers 1
priestess 1
professor 1
promises 1
prophetess 1
prophetic 1
quarrel 1
rae 9
raven 1
realizes 1
recovered 1
red 1
reincarnation 1
reject 1
relationship 1
repay 1
rephaim 6
responsibility 1
return 1
returning 1
revealed 1
rogues 1
roof 1
room 2
roommate 1
rooms 1
rougue 1
rumors 1
rush 1
safe 1
safety 1
same 1
san 1
save 2
saved 2
say 1
school 1
secret 1
see 1
sends 2
session 1
several 1
share 1
shatters 1
she 19
shows 1
six 1
sleeps 1
so 2
son 1
soothes 1
soul 2
spirit 1
stark 5
starts 2
stays 2
stevie 9
stressed 1
stresses 1
sun 1
sweeping 1
take 2
takes 2
taking 1
talk 2
tells 1
tempted 1
that 12
the 44
their 3
them 1
there 1
they 8
through 3
throws 1
time 2
tired 1
to 34
told 1
tunnels 2
twitter 1
two 3
uncontrollably 1
unexpectedly 1
up 1
upon 1
use 1
uses 2
vampyre 1
vampyres 2
venice 2
venus 1
very 1
view 1
vision 2
visions 1
warning 1
warrior 2
was 2
ways 2
when 1
while 3
whilst 1
why 1
will 4
with 8
world 3
wounded 1
wounds 1
zoey 16
