3473718
/m/09fdgf
/m/09fdgf
Henry James
1888-06-05
{"/m/05hgj": "Novel"}
a 1
about 1
accept 1
always 1
american 3
an 1
and 1
attempt 1
blame 1
but 3
by 1
called 1
confides 1
correspondent 1
decides 1
details 1
dismayed 1
dosson 1
everybody 1
except 1
family 2
fiance 3
flack 4
for 1
francie 4
frenchified 1
gaston 3
george 1
girl 1
giving 1
gossip 2
he 1
her 2
hide 1
his 4
horror 1
in 2
indiscretions 1
initially 1
is 2
juicy 1
makes 1
marries 1
members 1
much 1
nasty 1
never 1
no 1
not 1
of 4
originally 1
outraged 1
paris 1
predictably 1
pretty 1
probert 1
proberts 2
reverberator 2
role 1
scandal 1
sheet 1
shift 1
sister 1
some 1
somewhat 1
stands 1
stuffy 1
support 1
surprising 1
suzanne 1
tactful 1
the 12
to 8
tries 1
up 2
who 1
winds 1
with 1
