5536817
/m/0drfzm
/m/0drfzm
Jean Lorrah

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 6
accomplish 1
against 1
also 1
and 4
android 1
be 1
because 1
between 1
brutal 2
call 1
called 1
candidate 1
childhood 1
colony 1
complicated 1
correlates 1
current 1
data 2
deal 1
discover 1
distress 1
down 1
enterprise 1
federation 2
focuses 1
for 2
fringes 1
goal 1
has 3
how 1
human 1
in 1
is 4
it 3
kill 1
known 1
membership 1
more 1
natasha 1
novel 1
now 1
of 1
on 2
originally 1
power 1
rebels 1
relationship 1
revolution 1
seized 1
sent 2
situation 2
soon 1
space 1
sprung 1
suitable 1
takes 1
than 1
the 10
this 1
thought 2
time 1
to 5
treva 1
two 1
unique 1
up 1
use 1
wants 1
warlord 2
was 1
weapons 1
whomever 1
willing 1
with 3
yar 3
