28960647
/m/0dgpf28
/m/0dgpf28
Mercedes Lackey

a 36
ability 2
able 1
about 2
across 1
act 1
actually 2
adding 1
adventure 1
adventurers 1
adventures 1
advice 1
after 5
age 1
aleksia 1
alert 1
all 3
allowed 1
allowing 1
along 1
also 6
amphibians 1
amuse 1
an 3
and 63
angry 1
animals 2
ankle 1
announced 1
another 2
answer 1
answering 1
any 2
appear 2
appearance 2
are 4
armor 1
around 1
arrives 1
as 4
asleep 1
aspects 1
at 8
attacked 1
attention 1
attract 1
aunt 1
avoid 1
awake 1
away 1
back 1
bad 1
bargain 1
be 12
bean 1
beauty 2
becomes 1
been 1
beewoman 1
before 3
being 5
best 1
between 1
bidding 1
bird 3
black 1
blood 3
book 2
borders 1
boring 1
both 1
break 1
breaking 1
bringing 1
brother 1
brunnhilde 2
burns 1
but 2
buys 1
by 8
can 4
captured 1
castle 2
catch 1
celebration 1
celeste 1
chain 2
children 1
clans 1
clover 1
come 3
comes 3
companion 1
complete 1
composed 1
confined 1
consists 1
convince 1
coronation 1
could 2
curse 1
cursed 3
curses 3
cutting 1
deal 1
death 1
decide 1
deciding 1
declared 1
delight 1
demigoddesswho 1
descend 1
desire 1
desirous 1
desmond 3
destiny 1
dies 2
directed 1
disguise 1
do 1
does 1
doesnt 1
doing 3
done 1
donning 1
doom 2
down 1
dozen 1
drachenthal 1
dragon 3
dragons 1
drives 1
due 1
dustpan 1
dwarves 3
each 3
easier 1
eavesdropping 1
eggs 2
either 2
eltaria 7
end 1
ends 4
enemies 1
enough 1
ensuing 1
escape 1
eventually 2
every 1
everything 2
evil 2
fae 1
falkenreid 1
fall 1
fallen 2
falling 1
fated 2
father 2
fight 2
final 3
finalized 1
find 2
finds 2
fire 2
firebird 2
first 1
focusing 1
foot 1
for 11
former 1
freely 2
from 7
fulfilling 1
full 1
fulltime 1
future 1
gathers 1
get 1
gets 1
getting 3
gift 1
given 3
gives 3
god 1
godmother 9
gods 1
goes 1
going 1
gold 1
good 2
goodbye 1
guard 1
guards 1
had 3
hair 1
half 1
hand 3
happening 1
happens 1
happy 1
harming 1
has 7
have 7
having 4
he 6
heal 2
heir 2
help 6
helped 1
helps 1
her 19
herd 2
hero 1
herself 1
him 7
hiring 1
his 8
hoard 1
hoping 1
horrible 1
horseback 1
housed 1
how 1
however 8
human 2
hundred 1
huntsman 3
immensely 1
in 24
intelligent 1
intent 1
into 6
invoking 1
involves 3
is 26
isnt 1
it 12
item 2
items 1
jimson 3
job 1
just 3
kicked 1
kidnap 1
kidnapped 1
killed 1
king 3
kingdom 4
kingdoms 1
kiss 3
land 1
last 1
latter 1
leading 1
leaving 1
leopold 12
lessons 1
lets 1
life 1
like 1
lily 9
line 1
listens 1
locates 1
locking 1
love 4
luna 5
made 1
maggie 1
magic 1
make 1
makes 1
managed 1
manages 1
marriage 3
marries 1
marrying 2
mastered 1
means 2
meanwhile 2
measures 1
middle 3
mines 1
minor 2
mirror 2
mirrors 1
morose 1
mortally 1
mortals 1
most 1
mountain 1
mouth 1
much 1
name 2
named 3
naturally 1
necklace 1
night 1
no 2
none 1
not 4
number 1
of 34
off 4
often 1
old 1
older 1
on 8
once 2
one 4
ones 3
only 2
or 4
ordeal 1
order 1
other 2
out 6
outer 1
over 3
overseeing 1
overshadowing 1
palace 1
part 3
particularly 1
partly 1
party 1
pass 1
path 2
paths 1
pen 1
permanently 1
places 1
plan 1
plans 1
plants 1
poetprinces 1
poetry 1
point 1
popular 1
possible 1
potion 1
preparing 1
present 1
prevent 1
previous 1
prince 5
princes 6
princess 5
proclaims 1
produce 1
proper 1
protect 1
proves 1
queen 5
quite 3
race 1
real 2
realized 1
really 1
receive 1
recovered 1
regent 1
remaining 2
remove 1
renegade 1
rescue 2
rescued 2
return 1
returns 1
revealed 1
reveals 1
rid 1
riddles 2
right 1
ring 2
rosa 20
rosamund 1
ruined 1
rule 1
sable 2
same 2
satisfy 2
second 1
see 1
seigfried 13
selfdefense 1
sent 1
series 1
serious 1
servant 1
setting 2
seven 1
shackle 1
she 8
sheep 3
shepherd 1
shieldmaiden 1
shieldwoman 1
short 1
shortly 1
siegfried 1
simulate 1
since 3
sire 1
situation 1
slave 1
sleeping 3
small 1
snow 2
snowskin 1
so 8
solution 3
some 1
songs 1
sorceress 1
sorceresswith 1
spark 1
speaks 1
speech 1
spell 2
spend 1
spoon 1
spots 1
stabbed 1
starts 1
stay 2
stepmother 1
steps 1
stop 1
strike 1
supposed 1
surrounding 2
switching 1
take 5
taken 1
takes 1
taking 1
tale 1
tangled 1
task 1
tasted 1
telling 1
ten 1
tepmother 1
test 2
that 22
the 93
their 5
them 9
then 1
there 2
therefore 2
these 1
they 7
things 4
third 1
thirtyone 1
this 5
thorns 2
those 2
thought 1
three 1
through 2
thurman 1
thurmand 1
time 6
to 54
too 1
tower 1
tradition 3
traditional 3
training 1
trapped 2
travel 1
traveling 1
trial 3
trials 4
tries 1
trying 1
turn 2
turned 2
turns 4
twentyone 1
two 6
understandably 1
understands 1
unfortunately 1
unicorn 3
unless 1
unlike 2
until 3
up 14
use 1
useful 1
usually 1
versa 1
via 1
vice 1
virtual 1
wake 3
waking 1
war 1
warrior 1
was 4
way 3
wealthy 1
wear 1
well 2
what 1
when 1
which 8
while 4
white 1
who 8
whom 1
wicked 1
will 7
win 1
winner 1
wins 2
wise 1
wish 1
with 20
without 6
wont 3
wooden 1
working 1
world 1
wound 2
wounded 1
wretched 1
write 1
yourself 1
