3680694
/m/09v3fk
/m/09v3fk
Diane Duane

a 12
able 1
about 1
after 2
again 1
ages 1
aided 1
alerts 1
alike 1
ally 1
an 1
ancient 2
and 11
are 2
as 4
at 2
aunt 2
away 1
balor 1
battle 1
battlefield 1
be 4
been 2
begins 1
behind 1
being 1
between 2
book 1
boy 1
by 3
cannot 1
change 1
children 1
crush 1
currently 1
dangerous 1
defeated 1
different 1
dispute 1
even 1
everdiligent 1
evil 2
fight 2
find 1
fomorian 1
for 3
form 1
four 1
fox 3
frequent 1
from 2
fully 1
gather 1
get 2
gets 1
go 2
goes 1
happens 1
has 1
have 2
having 2
he 1
hectic 1
height 1
her 6
how 1
hunt 2
in 4
informing 1
ireland 4
is 7
king 1
kit 3
kitchen 1
know 1
land 1
light 1
live 1
local 1
location 1
lone 2
making 1
many 1
massive 1
met 1
more 1
much 1
must 2
narrowly 1
near 1
never 1
night 1
nita 7
nolan 1
nonwizards 2
not 1
of 10
old 1
on 2
one 1
or 1
other 1
over 1
overhears 1
overlays 1
own 1
parents 2
particularly 1
past 1
perilous 1
place 1
point 1
power 2
powers 1
practices 1
problem 2
quite 1
reawakened 1
relative 1
relics 2
restaurant 1
return 1
reveal 1
ronan 2
say 1
scheduled 1
seems 1
sending 1
senior 1
settling 1
she 3
sideways 3
site 1
slain 1
spear 1
spells 1
summer 1
talk 1
tells 1
thanks 1
that 4
the 19
their 2
them 1
there 1
they 3
theyre 1
theyve 1
things 1
this 5
though 2
time 1
times 1
to 13
tradition 1
transit 1
trees 1
trying 1
unfortunate 1
usage 1
very 1
warning 1
was 1
weak 1
when 1
where 1
which 1
while 1
who 3
whom 1
with 3
wizard 1
wizardly 1
wizardry 1
wizards 3
worlds 1
would 1
