23034356
/m/064lgh1
/m/064lgh1
Chuck Hogan
2009-06-02
777 1
a 9
abraham 1
across 1
alert 1
all 3
an 1
and 7
answers 1
are 3
arrives 1
as 1
at 1
battle 1
before 1
begins 2
biological 1
blood 1
boards 1
boeing 1
brewing 1
but 1
by 1
call 1
canary 1
cdc 1
channels 1
city 2
cold 1
come 1
communication 1
contagion 1
crew 1
crews 1
dead 1
down 1
dr 1
eph 2
ephraim 1
fighters 1
find 1
finds 1
for 1
former 1
gets 1
goes 1
gone 1
goodweather 1
ground 1
happening 1
harlem 1
has 2
have 1
he 2
head 1
his 3
holocaust 1
in 2
includes 1
infected 1
into 1
investigates 1
is 5
it 2
its 1
jfk 1
joined 1
knows 2
late 1
lights 1
lost 1
makes 1
mammoth 1
motley 1
must 1
named 1
new 1
now 1
of 4
on 2
out 3
pawnshop 1
plane 1
professor 1
project 1
proportions 1
pulled 1
quiet 1
rapidresponse 1
run 1
save 1
setrakian 2
shades 1
so 1
something 1
son 1
spanish 1
spill 1
stop 1
stops 1
streets 1
suddenly 1
survivor 1
tarmac 1
team 1
that 4
the 10
their 1
threats 1
time 1
to 3
too 1
vampiric 1
virus 1
war 1
way 2
what 1
when 1
who 1
wife 1
window 1
york 1
