3411198
/m/09b2mn
/m/09b2mn
Henry James

{"/m/05hgj": "Novel"}
a 2
abandon 1
adult 1
affair 1
an 1
and 11
are 2
as 1
back 1
beale 5
becomes 1
begin 1
besides 1
between 2
biological 1
book 1
both 1
busy 1
but 2
child 1
choose 1
claude 4
concludes 1
court 1
decide 1
decrees 1
devoted 1
did 1
divorced 1
each 3
end 1
essentially 1
eventually 1
farange 2
final 1
forth 1
france 1
frivolous 1
frumpy 1
gets 1
goes 1
governess 2
guardian 1
hatred 1
her 4
ida 3
if 1
immoral 1
in 3
intensify 1
largely 1
leaves 1
likeable 1
likely 1
little 1
long 1
lovers 1
maisie 7
marries 2
mdash 2
miss 1
months 1
more 1
most 1
mrs 5
must 1
new 3
of 3
older 1
only 1
other 3
overmore 1
parents 4
pretty 1
probably 1
relationship 1
reliable 1
remain 1
responsibility 1
return 1
ridiculous 1
section 1
set 1
she 3
shuttle 1
sir 4
six 1
soon 1
spending 1
spouses 2
stay 1
struggles 1
teenaged 1
than 1
that 2
the 10
their 3
them 3
themselves 1
they 1
those 1
to 4
use 1
very 1
wants 1
weak 1
when 1
while 1
will 2
with 5
wix 3
year 1
young 1
