2576481
/m/07p50s
/m/07p50s
John Irving
1968
{"/m/05hgj": "Novel"}
160s 1
a 4
accident 1
adventurefilled 1
after 1
all 1
an 2
and 3
animals 1
as 1
austria 1
austrian 1
before 1
book 1
books 1
bren 1
bust 1
catastrophic 1
central 1
characters 1
chronicle 1
climax 1
college 1
concerns 1
conclusion 1
continues 1
delat 1
die 1
eccentric 1
echoing 1
embark 1
ends 1
family 1
free 1
frlibert 1
from 2
given 1
go 1
graff 1
great 1
griefstricken 1
happened 1
head 1
his 1
ii 1
in 3
inhabitants 1
irvings 1
is 2
just 1
killed 1
large 1
late 1
les 1
liberate 1
los 1
mechaniccumphilosophermeet 1
middle 1
motorcycle 3
niedwiedzie 1
notebooka 1
novel 1
novels 1
occupation 1
of 7
on 1
ours 1
over 1
plan 2
plot 1
pluwolni 1
pour 1
prewwii 1
protagonists 1
protagonistsgraff 1
results 1
section 1
separate 1
siggy 4
soviets 1
student 1
the 18
their 2
then 1
this 1
through 1
to 4
tour 1
towards 1
two 2
vienna 2
voice 1
war 1
ways 1
with 2
world 1
young 1
zoo 3
