13306846
/m/03c18c1
/m/03c18c1
George Pelecanos

a 12
abducted 1
about 3
actions 1
admits 1
advice 1
afterwards 1
again 2
against 1
agitated 1
agrees 1
alante 1
alive 1
ambush 2
an 2
and 38
angry 1
another 1
answerphone 2
anyone 1
approaches 1
are 4
argue 1
arrested 1
as 5
asks 1
assaulting 1
at 6
attacking 1
away 1
back 1
beat 1
beauty 2
been 3
begins 3
being 1
believes 1
between 1
body 1
boy 1
brother 1
brothers 1
burgaled 1
burns 1
but 8
buying 1
by 9
calls 1
can 1
car 1
case 3
change 1
charged 1
claims 1
coates 4
competition 1
conceals 1
confront 1
considering 1
contact 1
convicted 1
customers 1
cut 1
cuts 1
deal 1
dealers 1
death 3
decides 1
defence 1
despite 2
devra 4
dewayne 3
did 1
discredit 1
does 1
donut 4
down 4
drive 1
drives 2
drug 1
drugs 1
durham 11
either 1
eliminating 1
elliot 4
employed 1
employee 1
enforcer 1
enforcers 1
enraged 1
faces 1
facing 2
failure 1
fake 1
false 1
feel 1
files 1
find 3
finds 2
firing 1
follow 2
footsteps 1
for 7
forced 1
foreman 9
found 1
friend 1
from 3
gave 1
get 2
girl 2
girlfriend 1
give 2
giving 1
go 1
goes 1
granville 1
group 2
gun 7
had 2
has 7
have 3
he 21
heart 1
help 1
her 7
hiding 2
him 15
his 15
hold 1
home 5
horace 2
identity 1
immediately 1
in 5
incidents 1
increasingly 1
information 6
injured 1
instructs 1
interviewed 1
intimidate 1
intimidated 1
intimidates 1
into 4
investigators 1
is 20
it 2
james 3
jeremy 2
jerome 2
jones 2
justice 1
kill 2
kills 1
later 1
learns 2
leaves 2
legal 1
let 1
link 1
locate 2
location 1
long 4
manages 1
mario 7
matching 1
mckinley 13
meet 2
meets 1
men 5
message 2
mike 1
missing 2
montgomery 3
months 1
murder 4
murders 2
narcotics 1
needs 2
night 1
not 2
noticed 1
observes 1
obstruction 1
of 16
oliver 5
olivia 2
on 5
one 3
or 1
orders 1
organizations 1
other 1
over 1
paid 1
partly 1
partners 1
pass 1
passed 1
passes 1
penalty 2
perform 1
phillip 1
police 7
pretences 1
prosecution 1
puts 1
question 2
questioned 1
quickly 1
quinn 11
rants 1
recruit 1
refuses 2
relating 1
relieved 1
relocate 1
rents 2
requirement 1
rescue 1
respond 1
responsible 1
return 1
returned 1
returns 3
safety 1
salon 2
seeks 1
sells 2
separate 2
sexually 1
she 1
shoot 1
shooting 2
shoots 1
shot 2
should 1
sign 1
similar 1
so 1
son 1
stokes 9
stolen 1
stop 1
store 2
strange 16
street 1
success 1
successor 1
suspect 1
tails 1
take 1
takes 1
taking 2
taling 1
talk 1
team 1
testify 2
testimony 2
that 7
the 41
their 1
them 4
themselves 1
there 1
they 7
this 1
threatening 1
threatens 1
tie 1
time 1
to 42
track 1
tracks 2
trial 1
tries 2
try 1
trying 1
ulysses 2
unable 3
unaware 1
uncle 1
under 1
unsuccessful 1
unwatched 1
up 1
using 1
violent 1
visits 1
was 1
watch 1
way 1
weapon 1
weapons 1
when 3
where 1
whereabouts 1
which 1
who 1
with 6
witness 1
witnesses 1
wood 2
woods 1
working 4
writes 1
wrote 1
young 1
