10661586
/m/02qlklb
/m/02qlklb
Alice Hoffman
2001
{"/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
2006 1
a 14
acquaintance 1
adoration 1
advise 1
after 3
amusement 1
an 2
and 25
answer 1
aquamarine 18
are 1
area 1
arrange 1
arrive 1
arthur 1
as 8
at 1
attachment 1
away 1
awestruck 1
back 2
based 1
beach 7
beautiful 1
because 2
become 1
been 4
before 2
begin 1
being 1
believes 1
best 2
bid 1
blue 1
books 1
both 1
boy 1
but 1
by 7
call 1
can 1
cannot 2
capri 7
carry 1
cast 1
change 1
chlorine 1
claire 17
club 7
come 1
compensate 1
conditions 1
confide 1
contact 1
contain 1
cousin 1
creature 1
days 1
decide 1
defers 1
departure 1
deposited 1
differences 1
discover 1
discovery 1
dismayed 1
dismembered 1
distant 1
do 1
does 2
dress 1
during 1
eaten 1
embrace 1
empty 1
encounter 1
encounters 1
enter 1
evening 2
explain 1
falls 1
farewell 1
favorite 1
find 1
florida 4
fond 1
food 1
for 8
forget 1
formerly 1
friends 1
frightened 1
from 3
full 1
furniture 1
future 2
girls 2
gives 1
gown 1
grandfather 1
grandparents 2
grounds 1
grown 1
had 1
hailey 11
handsome 1
happily 1
hardships 1
has 7
have 2
he 5
health 1
hear 1
help 1
her 18
hesitation 2
him 2
his 2
home 1
hope 1
hours 1
house 1
however 3
impair 1
in 11
information 1
into 3
introduce 1
is 10
it 2
its 2
just 1
lack 1
land 1
large 1
last 1
later 1
learn 1
learns 2
leave 2
leaves 2
legs 1
lifeforms 1
lift 1
little 1
live 1
lived 1
lives 3
long 3
made 3
make 1
many 1
marine 1
maury 1
meanwhile 1
meet 1
meeting 1
memory 1
mermaid 4
mermaids 1
mild 1
more 2
morning 1
move 2
movie 1
must 2
name 1
named 2
nearby 1
necessity 1
neglect 1
neighbors 1
never 1
new 1
news 1
next 1
night 1
not 1
nothing 1
novel 1
now 1
nudity 1
occurs 1
ocean 4
oclock 1
of 18
on 2
once 1
one 1
operation 1
order 1
organize 1
out 1
overcome 1
own 1
owner 1
persuade 1
pertaining 1
photograph 1
place 2
plan 1
pool 5
popular 1
positions 1
possible 1
presence 1
present 1
promise 1
quantity 1
raymond 11
read 1
realizing 1
refuses 1
regardless 1
regrets 1
rekindle 1
relative 1
remember 1
rescues 1
restored 1
retain 1
return 3
returning 1
ruinous 1
schoolgirls 1
seashell 1
seeing 1
send 1
separated 1
she 11
shocked 1
sisters 1
six 1
sleep 1
so 1
some 2
soon 1
soontobevacant 1
speaking 1
spend 2
spends 1
spoiled 1
staff 1
stimulated 1
story 3
strength 1
suffering 1
summer 1
surfaces 1
survive 1
swim 1
swimming 3
table 1
tail 1
take 3
takes 1
than 1
thanking 1
that 8
the 38
their 9
them 3
then 2
they 11
thinks 1
this 3
thunderstorm 1
thus 2
to 34
together 2
trash 1
troubling 1
trying 2
two 2
undergone 1
upon 1
urgent 1
utterly 1
very 2
via 1
vicinity 1
violent 1
visit 1
was 1
water 2
week 1
wheelchair 1
when 2
where 2
wherein 1
which 3
who 3
whom 2
will 4
wishing 1
with 7
years 1
yet 1
