5185461
/m/0d6t2h
/m/0d6t2h
Georgette Heyer

a 3
ably 1
about 1
accepted 1
also 1
an 1
and 8
appeal 1
april 1
are 1
arm 1
assisted 1
at 3
be 2
beautiful 1
been 1
brother 2
but 1
by 2
cardross 7
concerned 1
conformable 1
consequently 1
could 1
couple 1
cousin 1
dance 1
dbutantes 1
doubt 1
dysart 1
earl 1
falls 1
family 4
father 1
felix 1
fell 2
fianc 1
for 5
freely 1
friends 1
gambling 1
good 2
habits 1
hair 1
halfsister 1
hand 1
handsome 1
happy 1
has 2
have 1
he 5
heir 1
her 8
high 1
him 1
his 2
husband 1
impoverished 1
in 3
instant 1
into 1
is 6
jeremy 1
keeps 1
known 1
lady 1
length 1
many 1
marry 1
misunderstanding 1
months 1
more 1
mother 1
must 1
naturally 1
nell 6
nonetheless 1
not 1
of 8
older 1
on 2
once 1
one 1
other 1
out 1
pick 1
proposes 1
resolution 1
rich 1
same 1
season 1
she 3
sight 1
significantly 1
society 2
some 1
spend 1
spite 1
starts 1
story 1
tells 2
than 1
that 3
the 11
this 1
time 1
to 4
trouble 1
until 1
wants 1
warnings 1
who 3
wife 2
wishes 1
wit 1
young 1
