1800897
/m/05y1q9
/m/05y1q9
Michael Swanwick
1997-09
a 3
accelerating 1
after 1
all 2
and 5
antihero 1
around 1
at 1
based 1
becomes 1
being 1
blinding 1
burning 1
by 1
comes 1
contemplating 1
discomfort 1
dr 2
europe 1
explanation 1
faust 4
germany 1
growing 1
happen 1
help 1
him 1
his 3
how 1
human 1
image 1
in 1
information 1
is 1
jack 1
johannes 2
library 1
madman 1
mephistopheles 2
modern 1
modernization 1
mysterious 1
named 1
of 3
offers 1
own 1
plot 1
progress 1
questions 1
reshaping 1
savior 1
scientific 1
speed 1
struggles 1
suicide 1
the 5
then 1
things 1
thought 1
to 1
universe 1
who 1
why 1
with 3
without 1
