22204257
/m/05q4hbg
/m/05q4hbg

1991
{"/m/0488wh": "Literary fiction"}
4 1
a 23
accosts 1
across 1
action 1
advertising 1
after 1
afternoon 1
afterwards 1
airgun 1
all 2
along 1
am 1
an 6
and 15
angry 1
are 3
arrival 1
arrived 1
as 2
asks 1
at 2
attacks 1
attending 1
backyard 1
bag 2
batters 1
be 1
beach 1
been 2
being 1
bella 9
biding 1
both 1
bound 1
boyfriend 1
brighton 3
brown 1
brunswick 1
but 3
by 2
call 1
called 1
calls 1
can 2
cannot 1
car 2
catalyst 1
chatted 1
clairvoyant 1
clinical 1
comes 1
congress 1
culdesac 1
dentist 2
deserted 1
does 1
dressed 1
drives 1
drunk 1
dubious 1
dumped 1
easily 1
empty 1
enough 1
enters 2
erection 1
eventually 1
eyeopener 1
fancy 1
few 2
finds 1
fire 1
fixed 1
flat 2
flickknife 1
followed 1
for 3
forces 1
found 1
friday 1
gagged 1
get 1
give 1
goes 1
gunshop 1
had 1
hammer 1
has 6
having 1
he 7
head 2
helpful 1
her 20
him 5
his 6
home 1
hotel 1
hotels 1
hours 1
houses 1
if 1
illegal 1
in 7
instead 1
into 1
is 13
jaguar 1
join 1
just 1
kill 1
killer 1
kills 1
lady 1
lanes 1
large 1
last 1
later 1
leaves 2
lift 1
liverpool 1
living 1
lobby 1
makes 1
man 3
mary 1
meeting 1
men 1
mind 1
minutes 1
molesting 1
moment 1
morning 2
mr 1
multistorey 1
near 3
new 1
newly 1
next 1
night 3
nimrod 2
norman 3
not 1
obscene 2
of 5
offers 1
old 1
on 7
once 1
one 2
only 1
open 1
opportunity 1
oral 1
over 1
own 1
park 2
past 1
peace 1
perform 1
persuade 1
phone 2
pier 1
plastic 1
police 1
prepared 1
problem 1
psychologist 1
puts 1
quiet 1
ready 1
realizes 1
really 1
recently 1
rented 1
rescue 1
restored 1
result 1
room 1
same 1
saturday 2
scared 1
seafront 1
sees 1
selfconfidence 1
sell 2
serial 1
serves 1
sessions 1
set 2
sex 1
she 17
shoots 1
shop 1
sign 1
slave 1
sleeping 1
small 1
solitary 1
some 1
soon 2
spur 1
square 1
stabs 1
starts 1
station 1
steals 1
stroll 1
sunday 1
takes 2
that 2
the 20
there 1
they 1
thinks 1
threatening 1
three 1
through 2
tim 2
time 1
to 13
tooth 1
toothache 1
torments 1
tramp 1
treat 1
unsuspecting 1
until 1
up 1
upstairs 1
victim 2
visits 1
wait 1
walking 1
wants 1
watched 1
watching 2
weapon 1
weight 1
west 1
when 3
while 2
who 5
wide 1
willing 1
window 1
with 8
woman 1
xjs 1
young 3
yuppiestyle 1
