3581055
/m/09mxh4
/m/09mxh4
Christopher Pike

a 4
already 1
and 5
anything 2
arizona 1
as 1
ask 1
be 1
blind 1
blonde 2
blue 1
blueeyed 1
book 1
but 1
by 2
call 1
came 1
challenged 1
claims 2
convinces 1
dead 1
desert 1
did 1
didnt 4
disbelief 1
divinity 1
dont 1
emerges 1
even 1
expect 1
eyes 1
female 1
find 2
for 1
from 1
fundamentalist 1
girl 1
give 1
given 1
god 3
had 1
hair 1
hand 1
her 3
herself 1
high 1
his 1
hitchhiker 1
i 3
in 2
is 3
knew 1
know 2
many 1
maybe 1
me 1
meanwhile 1
meetings 1
message 1
michael 3
might 1
miracle 1
money 1
name 1
named 1
never 1
nor 1
not 1
nothing 1
numerous 1
of 2
on 1
once 2
only 1
opens 1
opinion 1
or 1
organized 1
other 1
out 3
people 1
picks 1
preacher 1
probably 1
prove 1
raise 1
really 1
sati 4
sets 2
she 10
sight 1
some 1
spreading 1
such 1
teach 1
that 2
the 5
this 4
thought 1
through 1
times 1
to 6
told 1
trucker 1
unscathed 1
up 1
was 3
where 1
who 2
worshiped 1
young 1
