18550096
/m/04g18jd
/m/04g18jd
James Patterson
2008-11-17
a 7
abidemi 1
able 1
access 1
addane 9
advice 1
african 1
after 9
afterward 1
afterwards 1
aided 1
alarming 1
alex 16
all 1
allie 1
alone 1
ambushed 1
american 1
an 2
and 26
angry 1
annoyed 2
another 1
are 3
arrested 1
arrests 1
arrives 1
as 4
associated 1
at 2
attacked 1
author 1
back 1
bad 1
bailed 1
barely 1
based 1
be 2
because 1
bed 1
been 4
before 1
befriended 1
being 1
bit 1
bitter 1
bomata 1
book 2
bree 5
broken 1
buys 1
by 15
call 1
called 1
calls 1
camp 1
can 1
case 1
children 1
cia 3
closer 1
convincing 1
coordinates 1
cops 2
course 1
cousin 1
cox 1
craig 1
crew 1
cross 7
customs 1
days 1
deal 1
death 1
defeat 1
discover 1
discovering 1
do 1
does 1
due 1
during 1
eleanor 1
ellie 3
ends 1
entire 1
escape 1
escaped 1
escapes 1
escaping 2
especially 1
events 2
family 5
father 1
feeds 1
figures 1
find 1
flaherty 5
flee 1
follows 1
for 1
found 1
from 5
gain 1
gaining 1
gang 4
get 2
gets 2
girlfriend 2
gives 4
go 3
goes 2
going 1
gone 1
had 4
happened 1
has 3
have 4
having 1
he 20
heading 2
help 2
her 3
hideout 1
him 5
himself 1
his 8
hobo 1
home 1
hopes 1
horribly 1
horrifically 1
however 1
ian 2
in 3
including 1
informs 1
injure 1
injured 1
instantly 2
instead 2
introduces 1
investigate 1
is 13
it 1
jail 2
janjaweed 1
john 1
kidnapped 2
kids 1
kill 1
kills 1
kiss 1
knowledge 1
known 1
kyle 1
late 1
later 3
learns 1
listening 1
loved 1
many 1
may 1
meets 2
men 2
merrill 1
met 1
might 1
millard 1
more 2
moses 3
most 2
much 1
murder 2
murdered 2
murders 2
name 1
nanna 1
nearly 2
nervous 1
next 1
nigeria 5
night 2
no 4
nose 1
occurred 1
of 8
on 5
one 2
only 1
or 1
out 2
overpowers 1
peacekeepers 1
phone 1
plaine 2
plans 1
point 1
previous 1
priest 1
prison 2
publicity 1
put 1
rape 1
raped 1
real 1
recalls 1
refuses 1
released 1
reporter 1
returning 1
revealed 1
reveals 1
revenge 1
ride 1
ruthless 1
sampson 1
says 1
shares 1
shortly 1
sitting 1
sleep 1
so 2
some 1
starves 1
stays 1
steven 1
still 1
stone 1
stop 2
sudan 1
swonade 3
synder 1
taken 1
tansi 1
terrified 1
that 5
the 26
their 1
them 1
then 4
there 1
they 3
think 1
thinks 1
this 1
three 1
tiger 16
time 3
to 23
trip 1
truck 1
trying 1
unbeknowst 1
up 1
upon 1
using 1
veteran 1
villains 1
wants 1
warlord 1
washington 1
water 2
well 1
were 1
when 3
where 6
whereabouts 1
which 2
while 2
who 9
whom 4
with 6
witnesses 1
women 1
work 1
worked 1
working 1
young 1
