271163
/m/01nwph
/m/01nwph
Zelda Fitzgerald
1932
a 7
about 1
according 1
achieving 1
actress 1
affair 1
after 1
alabama 10
am 1
american 1
an 3
and 11
are 2
artist 1
as 1
ashtrays 1
at 1
author 1
ballet 1
be 1
become 1
becomes 1
before 1
beggs 1
begins 1
but 2
catalog 1
cause 1
chapters 1
chronological 1
cleaning 1
closing 1
continue 1
contrast 1
counterparts 1
cultural 1
dancer 1
dances 1
david 4
death 1
debut 1
decides 1
deep 1
derives 1
determined 1
devotes 1
dies 1
disguises 1
divided 2
during 1
each 1
emptied 1
emptying 1
end 1
eventually 1
everything 1
expressive 1
f 1
family 1
father 2
faust 1
final 1
finds 1
fitzgerald 2
for 2
four 2
friends 1
from 2
further 1
gatsby 1
girl 1
glitter 1
go 1
great 2
happy 1
have 2
having 1
he 1
heap 1
her 4
herself 1
history 1
how 1
i 4
in 6
indelibly 1
interesting 1
into 3
is 5
it 1
its 2
just 1
knight 4
labeled 1
life 1
lines 1
literary 1
lived 1
lives 2
lucky 1
lump 1
marries 1
me 2
meaning 1
met 1
miserable 1
moves 1
myself 2
names 1
narrative 1
none 1
novel 2
novels 1
of 7
on 1
once 1
opera 1
otherwise 1
outwardly 1
own 1
painter 1
parts 1
party 1
past 1
periods 1
ready 1
reallife 1
record 1
relentlessly 1
remarks 1
reservoir 1
return 1
returning 1
right 1
riviera 1
romantic 1
save 2
sayre 1
says 1
scott 2
scotts 1
searches 1
she 1
so 1
solo 1
south 3
southern 1
story 1
success 1
successful 3
suggests 1
that 3
the 19
their 3
they 1
thin 1
this 1
though 2
three 1
thus 1
title 1
to 9
twentytwoyearold 1
unhappy 1
up 1
very 1
victor 1
waltz 2
war 1
was 2
when 2
where 1
which 4
while 1
who 1
with 2
world 1
written 1
zelda 2
