11788660
/m/02rsd3x
/m/02rsd3x
Katherine Mansfield
2007
a 6
again 1
and 8
apart 1
appears 1
as 1
at 2
be 1
behind 1
books 1
coleridge 1
come 1
comes 1
concert 1
decide 1
distant 1
down 1
evening 1
every 1
fall 1
following 1
friends 1
get 1
girl 1
go 1
goes 1
has 1
he 4
henry 2
her 1
him 1
his 1
house 1
is 1
it 1
jumps 1
late 1
later 1
left 1
like 1
london 1
looks 1
nearby 1
of 1
old 1
on 3
onto 1
poem 1
portfolio 1
pretty 1
receives 1
rent 1
samuel 1
saturday 1
sees 1
she 3
somewhat 1
start 1
starts 1
station 2
streets 1
talking 2
taylor 1
telegram 1
tells 1
the 6
then 2
there 2
they 4
things 1
to 4
train 4
until 1
upon 2
village 1
visit 1
walk 1
will 1
