4042764
/m/0bf3c6
/m/0bf3c6
Zoey Dean
2005-09-01
a 5
about 1
action 1
adventure 2
alist 1
all 1
also 1
an 1
and 7
anna 4
appropriate 1
are 1
at 4
away 1
back 3
before 1
behind 1
ben 4
best 1
between 1
beverly 1
black 1
blythe 1
book 1
boyfriend 1
breakdown 1
but 1
by 1
cammie 1
cat 1
chance 1
city 2
confesses 1
contest 1
convince 1
course 1
crew 2
cyn 1
dc 1
decide 1
decided 2
decides 1
dee 1
during 1
else 1
end 2
ending 1
ends 1
everyone 1
exciting 1
expected 1
far 1
favor 1
fights 1
finds 1
for 1
forget 1
forgo 1
friend 1
get 1
go 1
going 1
happened 1
has 1
have 2
he 1
her 1
hills 1
him 2
hypnotist 2
in 7
inside 1
instead 1
interesting 1
is 4
its 2
join 1
kept 1
las 1
leads 2
makes 1
more 2
much 1
no 1
not 1
of 5
one 1
outfit 1
own 1
partaking 1
pining 1
reform 1
revealed 1
revelations 1
said 1
school 3
scott 1
secrets 1
seeing 1
serious 1
she 1
shows 1
sin 1
sinful 1
sinners 1
someone 1
spencer 1
sponsored 1
starts 1
stays 1
suggested 1
surprises 1
tacky 1
talk 1
than 1
that 8
the 11
them 2
they 3
this 2
to 11
together 1
trip 2
trying 1
turns 1
up 2
vegas 2
visit 1
was 1
washington 1
way 1
were 1
what 2
which 1
who 2
whole 1
with 3
