33281760
/m/03wd9jt
/m/03wd9jt
Kristin Cast
2008-03-04
24th 1
a 7
about 2
acting 1
actually 1
adult 1
affinity 1
after 2
agree 1
alienated 1
all 1
alone 1
also 1
and 24
angrily 1
aphrodite 6
apparent 1
are 1
arrives 1
as 2
at 2
attacks 1
away 1
back 3
because 2
become 1
been 2
before 1
believe 1
best 1
betrayed 1
bible 1
birthday 1
bit 1
book 1
break 1
breaking 2
breaks 1
brings 1
but 1
by 2
came 1
cast 1
chance 1
chances 1
change 1
changes 1
choose 1
chooses 1
circle 2
clear 1
closest 1
confess 1
council 1
crucified 1
cure 1
damien 2
dark 1
daughters 1
death 1
december 1
declares 1
died 1
disappeared 1
discover 1
displeasure 1
does 1
down 1
drama 1
drinks 1
during 1
earth 3
else 2
erik 4
estranged 1
everyone 1
exit 1
explain 2
faces 1
faith 2
feel 1
feels 1
fill 1
find 1
finish 1
finishes 1
first 1
fit 1
for 3
founds 1
friends 4
from 6
gather 1
get 2
grief 1
had 2
has 3
he 2
heal 1
hears 1
heartbroken 1
heath 2
her 26
herself 2
hide 1
him 3
his 1
house 3
humans 1
imprint 1
imprints 1
in 4
infidelity 1
into 1
introduce 1
invoke 1
is 4
jealousy 1
keeps 1
last 1
later 1
leader 1
leads 1
leaves 2
leaving 1
lies 1
life 1
listen 1
loren 6
loses 1
loss 1
lost 1
loves 1
made 1
manages 1
manifests 1
mark 1
meddling 1
meets 1
more 2
much 2
must 1
neferet 7
new 1
next 1
night 3
nolan 1
occasion 1
of 12
on 6
one 1
opens 1
out 3
own 1
parents 1
patricia 1
people 1
planned 1
planning 1
position 1
previous 1
problem 1
pulls 2
quote 1
rae 6
realizes 2
red 1
relationship 2
resolved 1
responsible 1
rest 1
reveals 1
ritual 1
romantic 1
runs 1
school 2
secret 1
security 1
seduce 1
seized 1
sense 1
series 1
set 1
shaken 1
shatters 1
she 11
shows 1
sneaks 1
solution 1
someone 1
spasms 1
stevie 6
strengthen 1
success 1
teacher 1
tell 1
tells 1
terrified 1
that 7
the 24
them 3
there 2
they 2
this 1
through 1
to 28
together 2
trying 1
twins 2
until 1
up 3
upon 1
use 1
vampyre 1
virginity 1
walks 1
war 1
was 1
way 3
when 2
which 1
while 1
with 10
without 1
zoey 14
