6063708
/m/076x37t
/m/076x37t
Andy Mangels
2006-04-25
a 2
accepts 1
across 1
alien 2
an 1
and 2
assault 1
attack 1
attacks 1
both 1
but 1
come 1
command 1
conflict 1
continents 1
contingent 1
could 1
destroy 1
down 1
earth 1
energies 1
enterprise 1
into 1
kills 1
macos 1
men 1
military 2
millions 1
mission 1
must 1
of 2
officers 1
operations 1
or 1
over 1
perform 1
perish 1
personnel 1
planet 1
realize 1
rumoured 1
second 1
sides 1
source 1
starfleet 1
such 1
that 1
the 8
they 1
to 1
together 1
track 1
two 1
unleashing 1
ways 1
weapon 2
work 1
