12816440
/m/02x62y8
/m/02x62y8
Jon Berkeley
2006
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
400year 1
a 24
ability 3
able 1
about 1
accusations 1
acrobat 1
acrobatic 1
across 1
act 2
actually 1
affectionate 1
afford 1
after 9
again 2
against 1
aids 1
all 1
alone 1
along 2
also 1
always 1
an 3
and 47
angel 2
angels 1
angered 1
answer 1
antidote 1
antiques 1
any 1
appeared 1
appears 1
araby 1
are 3
arrival 1
arrive 1
as 3
asylum 1
at 3
attempting 1
away 1
back 1
baltinglass 2
barely 1
barty 4
be 2
bear 1
beast 2
been 1
before 4
befriended 1
began 1
behind 2
being 4
believes 1
betrayal 1
better 1
between 1
bleachers 1
blow 1
bolts 1
born 1
bosilio 1
bosillio 2
boy 1
boys 1
bravery 1
brothers 3
but 7
by 14
called 5
calls 1
can 2
cannot 2
cant 1
carries 1
catch 1
cats 2
caught 3
chase 1
child 1
children 1
circus 10
circuses 1
city 1
clown 2
clowns 1
combine 1
considers 1
constant 1
cortado 14
could 4
council 1
crowds 1
cruel 1
day 1
deal 1
death 1
decide 1
defeat 1
deliver 1
destroy 1
devised 1
did 1
died 1
difficulties 1
disappeared 1
disappearing 1
dr 1
drink 2
eagerly 1
earth 2
elderly 1
ends 1
enigmatic 1
escape 1
escaped 1
even 1
evening 1
eventually 1
ever 1
evil 1
expected 1
expecting 1
explorer 1
failure 1
fall 1
falling 2
fate 1
father 2
fathomed 1
feel 1
fell 1
final 1
finally 1
find 5
finds 2
first 2
flies 1
fly 1
for 2
forced 1
forces 1
forever 1
former 1
found 1
friend 3
friendly 1
from 8
fumble 2
gang 1
gangs 1
gave 1
get 1
ghengis 5
girl 1
given 1
gives 1
gnats 1
goes 1
good 1
got 1
great 5
grudge 1
gun 1
halfheads 2
hand 1
happen 1
happened 1
happiness 1
happy 1
has 3
have 1
he 19
heartbroken 2
heavens 1
help 2
henry 1
her 11
herself 2
hidden 1
him 13
himself 2
his 10
holds 1
however 1
in 10
influence 1
informed 2
instead 1
intends 1
interested 1
into 2
introduces 1
is 15
it 7
joining 1
journey 1
just 1
keep 1
keys 1
kicked 1
kidnaps 1
killed 1
knew 1
knocked 1
labor 1
lady 3
laugh 1
laughing 1
laughter 5
leader 1
leave 1
leaves 1
leaving 3
let 1
life 3
lightning 1
little 17
lives 1
local 1
lock 1
locked 1
loses 1
losing 1
loyalty 1
luckily 1
made 2
make 6
making 1
man 2
many 2
meal 1
mean 2
meet 1
member 1
method 1
miles 31
monster 1
monstrous 1
more 4
much 2
mysterious 2
name 1
named 1
near 1
never 1
next 3
night 1
not 2
now 2
nowhere 1
null 3
of 28
off 1
old 2
on 3
once 2
one 5
only 1
originally 1
orphan 2
orphanage 1
oscuro 3
other 2
out 2
outside 1
own 2
palace 4
part 3
partridge 5
people 1
perform 2
performance 1
performing 1
pestering 1
pinchbucket 1
place 2
plan 1
plans 2
pleasant 1
police 1
portion 1
prepare 1
pretends 2
promises 1
promptly 1
protect 2
prove 1
rampage 1
reach 2
realm 1
recently 1
recognize 1
replaced 1
replaces 1
rescue 2
rescued 1
results 1
return 1
returns 1
revealing 1
reveals 2
revenge 1
right 1
ringmaster 2
rivalry 1
room 1
runs 1
safe 1
safety 1
same 1
saving 1
scheme 1
seeing 1
sees 2
sells 1
senselessly 1
separates 1
share 1
she 3
shelter 1
shooting 1
show 3
showed 1
silverpoint 7
since 1
sings 2
sit 1
sky 1
small 1
smells 1
sneaks 1
some 2
son 1
song 1
souls 1
spectators 1
spread 1
sprouts 1
squeeze 1
stars 1
starve 1
stays 1
steal 3
stealing 2
steps 1
stinkers 2
stop 1
storm 1
storyshe 1
string 2
stuffed 1
stunts 1
success 1
summer 1
supposedly 1
surprisingly 1
suspects 1
taken 3
takes 2
talk 2
tame 1
tangerine 3
tautau 1
tells 1
temporarily 1
tent 1
than 1
that 5
the 89
their 2
them 6
themselves 1
then 2
there 1
they 6
three 1
through 1
tied 1
tiger 9
tipped 1
to 46
top 1
towards 1
town 1
towns 1
treehouse 1
tricked 1
tried 1
tries 2
trio 1
true 1
trying 1
turn 1
two 5
tying 1
unconscious 1
uncontrollably 1
unfortunate 1
unleashes 2
until 2
up 3
uses 1
using 1
varippuli 5
victim 1
violent 1
visited 1
wagon 1
wanders 1
was 7
watches 1
water 1
way 1
ways 1
wednesday 1
well 1
were 3
what 2
when 2
where 1
whip 1
who 14
widow 1
wife 1
wings 2
wish 1
with 9
witnesses 1
wonders 1
world 1
wrath 1
year 1
