7982488
/m/026mb4_
/m/026mb4_
Marie Corelli

{"/m/014dfn": "Speculative fiction"}
a 10
able 1
above 1
achieve 1
afford 1
all 1
although 1
and 7
aristocrat 1
australia 1
author 1
barely 1
be 2
befriends 1
behind 1
believes 1
best 1
blissfully 1
book 2
both 1
but 1
called 2
can 1
chance 1
character 1
companion 1
concept 1
confronted 1
content 2
contribution 1
course 1
deceased 1
despite 1
detailing 1
devil 1
earthly 1
eventually 1
ever 1
evil 1
fall 1
faustian 1
first 1
follows 2
forbidden 1
foreign 1
fortune 2
found 1
friend 2
from 7
geoffrey 1
good 1
gospel 1
grace 1
guide 1
has 2
he 7
him 3
his 8
how 1
in 5
incarnation 1
inherited 1
introduce 1
introduction 2
is 9
it 2
its 1
leads 1
letter 1
letters 1
lift 1
light 1
literature 1
lucio 3
made 1
main 1
many 1
meets 1
might 1
misery 1
most 1
much 1
nature 1
new 1
note 1
novel 1
of 9
offers 1
on 2
other 1
over 1
partake 1
penniless 2
people 2
philosophical 1
plot 2
poor 1
poverty 1
proceeds 1
purify 1
receives 1
redemption 1
regards 1
relate 1
relative 1
remains 1
renounces 1
rent 1
returns 1
room 1
salvation 1
satan 2
second 1
secondary 1
so 1
society 1
solicitor 1
soul 1
starving 1
story 1
supreme 1
surface 1
tempest 3
that 4
the 21
third 1
three 1
throughout 1
title 1
to 13
true 1
truly 1
unaware 1
use 1
warnings 1
wealth 2
when 1
who 4
with 2
within 1
work 1
yearning 1
yet 1
