6746723
/m/0glw4s
/m/0glw4s
Theodore Sturgeon

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 6
action 1
air 1
airstrip 1
an 5
ancient 3
and 7
anyone 1
are 1
area 1
attack 1
available 1
begins 1
being 3
believes 1
believing 1
below 1
blasting 1
bombs 1
break 1
building 1
bulldozer 3
by 2
called 1
civilization 1
composed 1
construction 2
contained 1
course 1
creature 1
crew 2
d7 1
daisy 1
damaged 1
desiete 1
despairing 1
destroy 1
during 1
eightman 1
enemy 2
energy 1
etta 1
explanation 1
facilities 1
fall 1
fellow 1
from 3
goes 1
graves 1
happened 1
he 1
ii 1
important 1
in 5
including 1
insanemanage 1
intentions 1
involving 1
is 3
island 2
it 5
its 1
killdozer 1
killing 1
leftover 1
longlost 1
machines 2
mispronunciation 1
now 1
of 6
on 2
one 1
open 1
over 1
pacific 1
places 1
possesses 2
presumably 1
pure 1
purpose 1
related 1
released 1
releases 1
report 2
sane 1
sentient 1
sky 1
small 1
spanish 1
stone 2
surviving 1
take 1
tears 1
temple 2
that 3
the 20
their 1
them 3
then 1
they 1
this 1
three 1
thrilled 1
throws 1
to 4
trying 1
two 2
ultimately 1
uncover 1
up 1
used 1
war 2
wartime 1
was 2
what 1
when 1
which 1
while 1
whole 1
worker 1
workers 4
workersone 1
world 1
write 1
writing 1
