1762744
/m/05tyx8
/m/05tyx8
Francis Bacon
1626
{"/m/04xg5kr": "Utopian fiction", "/m/014dfn": "Speculative fiction"}
1 1
2 1
3 1
4 1
a 10
accepting 1
accumulation 1
after 3
all 4
also 1
an 1
analysis 1
and 26
any 1
apostle 1
applied 1
apply 1
are 6
arrived 1
art 1
as 7
ascension 1
aspects 1
assigned 2
background 2
bacon 2
baconian 1
bartholomew 1
be 1
been 1
being 1
bensalem 2
betterment 1
between 1
bible 1
book 1
born 1
both 1
bounds 1
but 1
by 4
called 1
causes 1
character 1
chaste 1
christian 1
collected 1
college 4
conducted 1
conquer 1
copy 1
could 1
creation 1
crew 1
cultural 1
customs 1
demonstrates 1
depicts 1
described 4
describing 2
design 1
discern 1
discovered 1
discovery 1
divine 1
earth 1
effecting 1
empire 1
employed 1
employments 2
end 3
enlarging 1
envisioned 1
european 3
even 1
excerpt 1
experiments 2
eye 2
family 2
feast 2
fellows 1
few 1
finally 1
for 1
foresaw 1
foundation 3
from 2
functions 2
future 1
gave 1
god 1
governor 1
grace 1
gradual 1
had 1
have 2
having 1
he 2
head 4
heaven 1
high 1
him 1
his 1
history 1
honesty 1
honor 1
house 12
human 2
ideal 1
illusions 1
importantly 1
impostures 1
improved 1
in 9
include 1
individuals 1
inhabitant 1
inhabitants 1
institution 2
instruments 1
interlocutors 1
is 5
island 5
it 1
its 3
jesus 1
jew 1
joabin 1
just 1
kingdom 2
know 1
knowledge 3
last 1
letter 1
lost 1
many 1
members 1
method 1
methods 1
minimal 1
miracles 1
miraculously 1
modern 1
moral 1
most 1
motions 1
mythical 1
namely 1
nature 2
no 1
not 1
novel 1
observations 1
observe 1
observed 1
ocean 1
of 47
official 1
one 1
or 1
order 2
ordinances 2
organisation 1
our 1
pacific 1
payment 1
people 1
permission 1
peru 1
pious 1
plan 1
plot 1
portrayed 1
possible 1
preparations 1
process 1
publish 1
pure 1
religion 1
reported 1
requires 1
research 2
rites 2
sages 1
said 3
saint 1
salomon 10
science 2
scientific 4
scientists 1
secret 1
secrets 1
series 1
serves 1
several 2
ship 1
short 1
show 1
showing 1
society 2
somewhere 1
sorts 1
statesponsored 1
strangers 1
such 1
takes 1
that 4
the 65
their 4
them 1
there 2
they 3
things 2
third 1
this 2
thus 1
to 11
understand 1
understood 1
unfolding 1
university 1
very 2
vision 1
visitor 1
visitors 1
vouchsafed 1
well 1
were 1
west 1
where 1
whereto 1
which 6
works 4
years 1
