24215438
/m/07kdxfy
/m/07kdxfy
John Feinstein
2006-06-27
{"/m/02n4kr": "Mystery", "/m/03mfnf": "Young adult literature"}
2 1
48 1
a 4
and 5
anderson 1
are 1
around 1
aspiring 1
association 1
basketball 2
be 1
behind 1
between 1
blackmailing 1
but 1
carol 1
championship 1
coaches 1
come 1
competitive 1
contest 1
court 1
coveted 1
dream 1
even 1
fans 1
fellow 1
fiercely 1
figure 1
final 1
for 2
four 1
game 1
games 1
going 1
have 1
his 2
hours 1
is 2
it 1
journalists 1
junkie 1
just 1
like 1
lucky 1
media 1
moneymen 1
more 1
msu 1
new 1
nosing 1
now 1
of 3
on 2
one 2
orleans 1
out 2
overhear 1
pass 1
players 2
press 1
prize 1
scenes 1
sounds 1
star 1
steven 2
superdome 1
susan 1
than 1
the 12
they 1
thomas 1
those 1
threat 1
throw 1
to 4
trip 1
true 1
turn 1
usa 1
what 1
who 1
why 1
winner 1
winners 1
writer 1
