101904
/m/0ptw0
/m/0ptw0
William Armstrong
1969
a 11
about 2
absence 1
achieved 1
achieving 1
added 1
after 3
against 1
along 2
among 1
an 3
and 38
anymore 1
anyway 1
anywhere 1
are 1
around 1
arrest 1
arrested 1
arrives 1
as 1
asks 1
asleep 1
at 4
awkward 1
back 3
be 1
being 1
between 1
biscuits 1
black 1
blast 1
blood 2
body 1
boiling 1
book 1
boy 21
breaks 2
burst 1
but 5
by 3
cabin 2
cake 2
can 1
cannot 1
carries 1
check 1
chores 1
christmas 1
climbs 1
come 1
comes 1
conversation 1
convicted 1
convicts 2
corn 1
counties 1
county 2
damaged 1
day 2
days 1
dead 2
deaths 1
deputies 2
despite 1
die 1
dies 1
dog 5
dresses 1
during 3
dynamite 1
each 2
ear 3
end 1
enter 1
escape 1
eventually 1
extends 1
eye 1
faint 1
fall 2
family 3
familyespecially 1
father 17
feast 1
fence 1
fields 1
finally 2
find 2
finds 4
fingers 1
for 10
fried 1
from 1
fun 1
gets 1
gives 1
go 3
goes 4
gone 1
gravy 1
ground 1
group 2
guard 3
half 1
ham 1
hands 1
happened 1
hard 1
has 5
he 16
help 1
helping 2
hidden 1
him 14
his 26
home 3
hours 1
hungry 1
hunting 3
if 1
in 11
intense 1
into 3
iron 1
is 13
it 5
its 1
jail 5
journeys 1
labor 1
late 1
later 1
leans 1
learn 1
leave 2
leaves 1
legs 1
let 1
lets 1
literacy 1
live 1
loneliness 1
look 1
looking 4
made 2
makes 2
making 1
man 3
master 1
meets 1
might 1
milk 1
money 1
months 1
morning 2
most 1
mother 6
mush 1
nervous 1
night 2
not 2
number 1
of 16
off 2
offer 1
old 2
on 6
one 7
only 2
order 1
out 1
outside 1
over 3
own 1
peace 1
period 1
piece 1
pieces 1
pillow 1
poor 2
porch 1
pump 1
puts 1
read 1
receive 1
resolution 1
resolves 1
responsibility 1
return 1
reunited 1
rudely 1
runs 1
school 2
search 2
see 1
selling 1
sense 1
sentenced 1
several 2
sharecropper 1
she 1
sheriff 1
shoots 1
siblings 1
single 1
smell 1
something 1
son 1
soon 2
sound 1
sounder 11
spots 1
standing 1
stays 1
steps 1
stopped 1
strained 1
stricken 1
subsists 1
summer 1
survives 1
take 1
takes 1
teacher 4
tells 6
tend 1
that 4
the 70
their 2
them 3
there 3
they 4
thing 1
thinks 2
three 2
threelayer 1
time 1
to 25
toward 1
townspeople 1
traces 1
trashcan 1
traveling 1
treats 1
tries 1
two 1
under 2
undertakes 1
until 1
up 3
use 1
wait 1
wake 1
wakes 1
walking 1
walnuts 1
wanted 1
was 2
wash 1
watch 1
watching 1
way 2
weeks 1
well 1
whacks 1
what 1
when 5
where 1
which 1
while 1
whining 1
who 2
winter 2
wishes 1
with 6
within 1
without 1
word 1
working 3
world 1
would 1
wounds 1
years 1
