12947743
/m/02z10mn
/m/02z10mn
Michael Connelly
2001-01-23
{"/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel"}
a 14
about 1
after 1
agrees 1
alerts 1
all 1
almost 1
among 1
an 2
analyzes 1
and 13
any 1
around 1
as 3
ask 1
asks 1
at 1
authorreporter 1
baptizes 1
bargain 1
based 1
be 1
because 1
been 1
before 1
being 2
bosch 14
breaks 1
brings 1
brother 2
business 1
but 1
by 2
can 1
captures 1
case 4
catalina 2
challenge 1
charged 1
charter 1
cielo 1
clues 1
concludes 1
court 1
covering 1
currently 1
daughter 1
death 1
deputy 1
details 1
director 5
discredit 1
elements 1
erased 1
evidence 4
excop 3
exotic 1
felonymurder 1
file 1
filled 1
finds 1
fishing 1
for 3
frame 2
fresh 1
from 4
fulltime 1
goes 1
got 1
gotten 1
graciela 1
guilty 1
had 1
handled 1
harry 1
have 5
he 1
highprofile 1
him 2
himself 2
his 4
however 1
implicating 1
in 12
infant 1
investigation 1
involvement 1
involving 2
is 4
island 1
it 1
jack 1
jaye 1
key 2
killer 1
killing 1
kills 1
knew 1
knows 1
lied 1
look 1
married 1
may 1
mccaleb 15
mcevoy 2
movie 1
murder 4
named 1
nevertheless 2
not 1
nothing 1
nowhere 1
of 3
off 1
office 1
on 2
only 2
order 1
over 1
parking 1
plan 1
plea 1
plead 1
poet 1
point 1
police 2
post 1
potential 1
pretend 1
previous 1
probable 1
process 1
proving 1
real 1
realizes 1
recovered 2
reexamine 1
relationship 1
renewed 1
reporters 1
result 1
retirement 1
return 1
rivers 1
running 1
save 1
saves 1
scene 1
second 1
security 1
seem 1
seen 1
separate 1
set 1
sheriff 1
something 1
start 1
straight 1
surveillance 1
take 1
tape 2
targets 1
terry 1
that 7
the 23
then 2
they 2
ticket 1
tip 1
to 12
toward 1
turns 1
up 1
usable 1
was 2
which 2
while 1
who 2
whom 1
winston 1
with 3
witness 1
work 1
wrote 1
younger 1
