13014524
/m/02z3c9r
/m/02z3c9r
Andre Norton

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 23
able 1
accidentally 1
achieves 1
after 1
afterwards 2
against 1
aid 1
aimed 1
all 1
ally 1
almost 1
already 1
also 1
amazing 1
ambushed 1
an 3
and 13
anger 1
another 1
appear 1
are 4
arrives 1
arthurian 1
assassins 1
at 1
attack 3
attuned 1
away 1
be 3
become 2
behind 1
being 1
black 1
bloodily 1
blow 1
boats 1
bodies 1
both 1
bows 1
but 5
by 11
capital 2
captain 1
captured 1
carnage 1
caught 2
causes 1
chased 1
city 1
coastal 1
colonel 1
common 2
contacted 1
controlled 1
countryside 1
criminal 1
daughter 1
defeated 1
defenders 1
dire 1
disbelieving 1
discharged 1
disgrace 1
dispose 1
down 1
dr 1
during 2
earth 1
empty 1
encountered 1
enemies 1
enemy 3
enough 1
enters 1
entity 1
erupts 1
escape 2
escarp 1
estcarp 6
ethnic 1
europe 1
experience 1
explosion 1
fantastic 1
faroff 1
few 1
fights 1
flee 2
followed 1
for 2
force 1
fortress 1
fortunately 1
founder 1
frenzy 1
from 5
fulk 1
gateway 1
gives 1
gorm 4
group 2
guerrilla 1
guided 1
had 3
handful 1
has 3
he 8
help 1
helped 1
her 1
hiding 1
higher 1
him 3
his 4
horsemen 1
hounds 1
however 1
hunt 1
ii 1
in 10
inadvertently 1
intense 1
into 1
involved 1
is 11
island 2
it 2
its 1
jaelithe 5
join 1
jorge 1
just 1
kars 1
karston 2
killing 1
kills 1
knew 1
kolder 3
koris 2
land 5
launch 1
leader 2
learns 1
left 1
legend 1
level 1
lieutenant 1
like 2
link 1
little 1
lone 1
lord 1
lose 1
loyse 2
magic 1
magnis 1
make 1
man 1
managed 1
many 2
market 1
men 2
mental 2
military 2
mindless 1
money 1
months 1
more 1
most 1
mundane 1
mysterious 1
nation 1
nearly 1
neighbor 1
number 1
of 32
old 1
on 4
one 2
only 2
opening 1
opponent 1
organization 1
organizes 1
osberic 2
others 1
out 1
over 1
overwhelms 1
party 1
people 1
perilous 1
person 1
petronius 2
postwar 1
power 2
powerful 1
principal 1
prior 1
race 1
rank 1
rapport 1
reach 1
reaches 1
realm 1
recognizes 1
recounts 1
refugee 1
refugees 1
remains 2
reputation 1
requests 1
rescues 1
respects 1
restive 1
reunited 1
risen 1
ruled 1
run 1
running 1
savage 1
seafaring 1
season 1
send 1
sent 1
separated 1
service 1
shipped 1
siege 1
simon 1
sits 1
slave 1
small 2
soldier 1
sole 1
some 3
soon 1
southern 1
stone 1
straits 1
struggle 1
sulcarkeep 3
sulcarmen 1
survivors 1
swords 1
taken 1
taking 1
tale 1
technology 1
than 1
that 3
the 37
their 1
then 1
there 1
these 1
they 2
those 1
though 1
threat 1
threatened 1
time 2
tiny 1
to 19
together 1
traders 1
trading 1
transported 1
tregarth 10
trusted 1
turned 1
two 2
universe 1
unseen 1
up 2
using 1
verlaine 1
vessels 1
victorious 1
vies 1
violence 1
war 1
warriors 1
was 2
way 2
when 2
where 1
which 1
while 1
who 2
witch 2
witches 2
with 8
witness 1
woman 1
women 1
world 2
