8638307
/m/027c0y9
/m/027c0y9
Fernando Vallejo
1994
16 1
30 1
a 8
absence 1
after 1
agreed 1
alexis 8
alone 1
also 2
an 3
and 3
angel 1
another 1
anybody 1
are 1
as 1
author 1
because 1
before 1
behaviors 1
body 1
bound 1
boy 2
boys 1
brother 1
but 4
by 2
called 1
can 1
capital 1
child 1
childhood 1
church 2
city 1
colombia 1
confessed 1
country 1
dangerous 1
dating 1
death 1
doomed 1
explains 1
falls 1
fernando 7
finally 1
finds 2
fire 1
for 2
from 1
goes 1
greet 1
guns 1
hate 1
he 10
him 3
his 7
hitman 1
home 1
in 5
informed 1
intense 1
into 1
is 6
keeps 1
kill 2
killed 3
killer 2
knew 1
last 1
late 1
leave 1
like 1
live 1
looks 1
love 3
male 1
meanings 1
medelln 4
meets 1
middle 1
more 1
mother 1
motorbike 1
murder 2
needs 1
no 1
not 4
of 8
old 1
on 2
one 1
only 1
opens 1
passion 1
place 1
possible 1
proposed 1
prostitute 1
reason 1
remembrances 1
resemblance 1
returns 1
rubs 1
same 1
seems 1
soon 1
surprising 1
symbols 1
teenagers 1
tells 1
tender 1
that 3
the 15
their 1
they 1
time 1
to 11
transformed 1
trying 1
two 1
up 1
wander 1
way 1
when 2
where 1
while 1
who 2
whom 1
wilmar 4
winds 1
with 4
world 1
writer 1
wrong 1
years 2
